CNPJ Fundo;Data de Referência;Receita Distribuída;Receita Gerada;Custos Totais;Receita Aluguel (Contábil);Receita Aluguel (Financeiro);Indício de Vacância;Indício de Inadimplência
00.332.266/0001-31;2021-03-31;-0.0010000000819563866;4560790.507999999;-8919286.010000002;9141633.4;10289795.63;Não;Não
00.332.266/0001-31;2021-06-30;2408128.136;546395.282;-15933699.290000003;8205602.45;8117562.98;Sim;Sim
00.332.266/0001-31;2021-09-30;2868384.504;3275579.872;-13094238.319999998;9734777.62;10302930.4;Não;Não
00.332.266/0001-31;2021-12-31;4200223.501;6768561.720000001;-15919322.180000002;14005818.14;11301835.11;Não;Sim
00.332.266/0001-31;2022-03-31;4592244.368999999;5272098.408;-9835640.619999995;9940422.09;11728532.58;Não;Não
00.332.266/0001-31;2022-06-30;4200223.505999999;5255608.172;-11816572.260000002;12080592.65;11451187.87;Não;Sim
00.332.266/0001-31;2022-09-30;5320283.1;5197204.998000001;-13826672.120000001;12429331.92;12959340.86;Não;Não
00.332.266/0001-31;2022-12-31;7322515.9569999995;-1305908.35;-15405169.01;16624098.44;13239219.39;Não;Sim
00.332.266/0001-31;2023-03-31;4592244.360000001;6290397.045999999;-9025374.05;10641842.81;12616449.87;Não;Não
00.332.266/0001-31;2023-06-30;10079179.505999997;8233383.608;-7069822.980000001;14135674.21;11785768.31;Não;Sim
00.332.266/0001-31;2023-09-30;6721136.160000001;7327911.392;-10071293.749999998;12630171.79;14915961.12;Sim;Não
00.332.266/0001-31;2023-12-31;2517143.351;5064722.852;-16549412.86;14365817.95;13185019.0;Não;Sim
00.332.266/0001-31;2024-03-31;3917753.9500000007;5380861.29;-10177225.89;9674003.75;12501593.74;Não;Não
00.332.266/0001-31;2024-06-30;4312229.4569999995;4784657.232;-12534411.220000004;11895125.65;11097974.1;Não;Sim
00.332.266/0001-31;2024-09-30;2283217.192;2615430.588;-17495001.479999993;11549378.1;11400263.87;Sim;Sim
00.332.266/0001-31;2024-12-31;3347472.6290000007;-17038957.212;-17275705.300000004;11373867.36;11374647.63;Sim;Não
00.332.266/0001-31;2025-03-31;0.006999999642372131;4514467.93;-10650855.160000004;9842053.96;10631852.86;Não;Não
00.613.094/0001-74;2021-03-31;0.0;-610148.886;-1882870.4599999997;0.0;0.0;Sim;Não
00.613.094/0001-74;2021-06-30;0.0;-531870.336;-1907989.21;0.0;0.0;Não;Não
00.613.094/0001-74;2021-09-30;0.0;-667047.504;-2133721.14;0.0;0.0;Não;Não
00.613.094/0001-74;2021-12-31;0.0;-531250.5220000001;-1856954.0400000005;0.0;0.0;Não;Não
00.613.094/0001-74;2022-03-31;0.0;-712258.3800000001;-1990111.2400000002;0.0;0.0;Sim;Não
00.613.094/0001-74;2022-06-30;0.0;-936445.316;-2507484.7;0.0;0.0;Não;Não
00.613.094/0001-74;2022-09-30;0.0;-829341.916;-2130663.3;0.0;0.0;Não;Não
00.613.094/0001-74;2022-12-31;0.0;-577879.284;-1455012.96;0.0;0.0;Não;Não
00.613.094/0001-74;2023-03-31;0.0;-301951.22199999995;-907969.0500000002;0.0;0.0;Sim;Não
00.613.094/0001-74;2023-06-30;0.0;-741943.4199999999;-2311897.79;0.0;0.0;Não;Não
00.613.094/0001-74;2023-09-30;0.0;-1175399.542;-3627075.91;0.0;0.0;Não;Não
00.613.094/0001-74;2023-12-31;0.0;-741661.008;-2218650.0;0.0;0.0;Não;Não
00.613.094/0001-74;2024-03-31;0.0;-324542.406;-969289.95;0.0;0.0;Sim;Não
00.613.094/0001-74;2024-06-30;0.0;-782440.866;-2358838.5100000002;0.0;0.0;Não;Não
00.613.094/0001-74;2024-09-30;0.0;-436576.196;-1209260.93;0.0;0.0;Não;Não
00.613.094/0001-74;2024-12-31;0.0;-793650.85;-2524387.3300000005;0.0;0.0;Não;Não
00.613.094/0001-74;2025-03-31;0.0;-349826.24;-1099242.79;0.0;0.0;Sim;Não
00.762.723/0001-28;2021-03-31;259459.59600000002;464144.394;-3239330.0400000005;1862083.21;2128326.18;Não;Não
00.762.723/0001-28;2021-06-30;518855.824;295914.994;-2278624.1799999992;1442982.73;1443667.62;Sim;Não
00.762.723/0001-28;2021-09-30;-0.001;-795315.024;-3192342.13;-86110.63;860102.2;Sim;Não
00.762.723/0001-28;2021-12-31;0.0;-4294009.467999999;-2708378.9;80217.68;50310.47;Não;Sim
