data;IPCA_mensal;IPCA_12m;IPCA_anual;CDI_mensal;CDI_12m
1987-07-01;9,21;135,96;164,79;8,91;124,73
1987-08-01;4,87;137,28;164,79;8,09;130,25
1987-09-01;7,78;143,34;164,79;7,99;135,30
1987-10-01;11,22;152,66;164,79;9,45;142,79
1987-11-01;15,08;162,29;164,79;12,92;153,34
1987-12-01;14,15;164,79;164,79;14,38;162,25
1988-01-01;18,89;170,47;264,11;16,78;168,03
1988-02-01;15,70;173,53;264,11;18,35;166,77
1988-03-01;17,60;174,76;264,11;16,59;171,41
1988-04-01;19,29;174,95;264,11;20,25;176,36
1988-05-01;17,42;170,92;264,11;18,65;170,38
1988-06-01;22,00;173,21;264,11;20,17;172,53
1988-07-01;21,91;185,91;264,11;24,69;188,31
1988-08-01;21,59;202,63;264,11;22,63;202,85
1988-09-01;27,45;222,30;264,11;26,25;221,11
1988-10-01;25,62;236,70;264,11;29,79;241,45
1988-11-01;27,94;249,56;264,11;28,41;256,94
1988-12-01;28,70;264,11;264,11;30,24;272,80
1989-01-01;37,49;282,71;354,09;22,97;278,99
1989-02-01;16,78;283,79;354,09;18,95;279,59
1989-03-01;6,82;273,01;354,09;20,41;283,41
1989-04-01;8,33;262,05;354,09;11,52;274,68
1989-05-01;17,92;262,55;354,09;11,43;267,46
1989-06-01;28,65;269,20;354,09;27,29;274,58
1989-07-01;27,74;275,03;354,09;33,15;283,04
1989-08-01;33,71;287,15;354,09;35,49;295,90
1989-09-01;37,56;297,26;354,09;38,58;308,23
1989-10-01;39,77;311,41;354,09;47,70;326,14
1989-11-01;47,82;331,29;354,09;48,41;346,14
1989-12-01;51,50;354,09;354,09;64,21;380,11
1990-01-01;67,55;384,15;350,35;67,60;424,74
1990-02-01;75,73;443,10;350,35;82,04;487,83
1990-03-01;82,39;518,67;350,35;36,76;504,18
1990-04-01;15,52;525,86;350,35;4,23;496,89
1990-05-01;7,59;515,53;350,35;5,69;491,15
1990-06-01;11,75;498,63;350,35;8,73;472,59
1990-07-01;12,92;483,81;350,35;13,79;453,23
1990-08-01;12,88;462,98;350,35;11,53;429,27
1990-09-01;14,41;439,83;350,35;15,21;405,90
1990-10-01;14,36;414,42;350,35;16,49;374,69
1990-11-01;16,81;383,41;350,35;19,83;346,11
1990-12-01;18,44;350,35;350,35;22,86;304,76
1991-01-01;20,75;303,55;189,82;21,02;258,18
1991-02-01;20,72;248,54;189,82;6,85;182,99
1991-03-01;11,92;178,07;189,82;8,99;155,22
1991-04-01;4,99;167,54;189,82;9,67;160,66
1991-05-01;7,43;167,38;189,82;9,56;164,53
1991-06-01;11,19;166,82;189,82;10,32;166,12
1991-07-01;12,41;166,31;189,82;12,39;164,72
1991-08-01;15,63;169,06;189,82;15,75;168,94
1991-09-01;15,63;170,28;189,82;19,78;173,51
1991-10-01;20,23;176,15;189,82;25,95;182,97
1991-11-01;25,21;184,55;189,82;32,43;195,57
1991-12-01;23,71;189,82;189,82;31,17;203,88
1992-01-01;25,94;195,01;278,23;29,06;211,92
1992-02-01;24,32;198,61;278,23;28,76;233,83
1992-03-01;21,40;208,09;278,23;26,86;251,70
1992-04-01;19,93;223,03;278,23;23,92;265,95
1992-05-01;24,86;240,46;278,23;23,00;279,39
1992-06-01;20,21;249,48;278,23;24,28;293,35
1992-07-01;21,83;258,90;278,23;26,21;307,17
1992-08-01;22,14;265,41;278,23;25,65;317,07
1992-09-01;24,63;274,41;278,23;27,66;324,95
1992-10-01;25,24;279,42;278,23;28,18;327,18
1992-11-01;22,49;276,70;278,23;26,40;321,15
1992-12-01;25,24;278,23;278,23;25,92;315,90
1993-01-01;30,35;282,64;373,79;28,52;315,36
1993-02-01;24,98;283,30;373,79;28,90;315,50
1993-03-01;27,26;289,16;373,79;28,36;317,00
1993-04-01;27,75;296,98;373,79;30,53;323,61
1993-05-01;27,69;299,81;373,79;30,90;331,51
1993-06-01;30,07;309,67;373,79;31,91;339,14
1993-07-01;30,72;318,56;373,79;32,73;345,66
1993-08-01;32,96;329,38;373,79;34,64;354,65
1993-09-01;35,69;340,44;373,79;37,23;364,22
1993-10-01;33,92;349,12;373,79;38,40;374,44
1993-11-01;35,56;362,19;373,79;38,38;386,42
1993-12-01;36,84;373,79;373,79;40,38;400,88
1994-01-01;41,31;384,75;275,84;42,76;415,12
1994-02-01;40,27;400,04;275,84;41,99;428,21
1994-03-01;42,75;415,53;275,84;46,42;446,27
1994-04-01;42,68;430,46;275,84;46,49;462,23
1994-05-01;44,03;446,80;275,84;47,95;479,28
1994-06-01;47,43;464,16;275,84;50,62;497,99
1994-07-01;6,84;440,28;275,84;6,87;472,13
1994-08-01;1,86;409,18;275,84;4,17;441,66
1994-09-01;1,53;375,02;275,84;3,83;408,26
1994-10-01;2,62;343,72;275,84;3,62;373,48
