Ticker;Data Ex;Dividendo;Tipo;Data Pagamento;Yield
HGLG11;Jul 01, 2025;1.10;1M;Jul 14, 2025;8.29%
HGLG11;Jun 02, 2025;1.10;1M;Jun 13, 2025;8.18%
HGLG11;May 02, 2025;1.10;1M;May 15, 2025;8.21%
HGLG11;Apr 01, 2025;1.10;1M;Apr 14, 2025;8.64%
HGLG11;Mar 05, 2025;1.10;1M;Mar 18, 2025;8.77%
HGLG11;Feb 03, 2025;1.10;1M;Feb 14, 2025;8.67%
HGLG11;Jan 02, 2025;1.10;1M;Jan 15, 2025;8.45%
HGLG11;Dec 02, 2024;1.10;1M;Dec 13, 2024;8.67%
HGLG11;Nov 01, 2024;1.10;1M;Nov 14, 2024;8.47%
HGLG11;Oct 01, 2024;1.10;1M;Oct 14, 2024;8.30%
HGLG11;Sep 02, 2024;1.10;1M;Sep 13, 2024;8.19%
HGLG11;Aug 01, 2024;1.10;1M;Aug 14, 2024;8.23%
HGLG11;Jul 01, 2024;1.10;1M;Jul 12, 2024;8.14%
HGLG11;Jun 03, 2024;1.10;1M;Jun 14, 2024;8.08%
HGLG11;May 02, 2024;1.10;1M;May 15, 2024;7.92%
HGLG11;Apr 01, 2024;1.10;1M;Apr 12, 2024;7.81%
HGLG11;Mar 01, 2024;1.10;1M;Mar 14, 2024;7.77%
HGLG11;Feb 01, 2024;1.10;1M;Feb 16, 2024;7.99%
HGLG11;Jan 02, 2024;1.10;1M;Jan 15, 2024;8.15%
HGLG11;Dec 01, 2023;1.10;1M;Dec 14, 2023;8.18%
RCRB11;Jul 01, 2025;0.45;1M;Jul 15, 2025;4.00%
RCRB11;Jun 06, 2025;0.44;1M;Jun 13, 2025;4.14%
RCRB11;May 08, 2025;0.88;1M;May 15, 2025;8.32%
RCRB11;Apr 08, 2025;0.88;1M;Apr 15, 2025;8.62%
RCRB11;Mar 07, 2025;0.85;1M;Mar 14, 2025;8.50%
RCRB11;Feb 07, 2025;0.85;1M;Feb 14, 2025;8.79%
RCRB11;Jan 08, 2025;0.85;1M;Jan 15, 2025;8.08%
RCRB11;Dec 06, 2024;1.11;1M;Dec 13, 2024;11.49%
RCRB11;Nov 07, 2024;1.05;1M;Nov 14, 2024;9.71%
RCRB11;Oct 08, 2024;1.00;1M;Oct 15, 2024;9.23%
RCRB11;Sep 06, 2024;0.91;1M;Sep 13, 2024;8.29%
RCRB11;Aug 08, 2024;0.91;1M;Aug 15, 2024;7.96%
RCRB11;Jul 08, 2024;0.99;1M;Jul 15, 2024;8.55%
RCRB11;Jun 07, 2024;0.93;1M;Jun 14, 2024;7.26%
RCRB11;May 08, 2024;0.93;1M;May 15, 2024;6.99%
RCRB11;Apr 08, 2024;0.93;1M;Apr 15, 2024;6.98%
RCRB11;Mar 08, 2024;0.93;1M;Mar 15, 2024;7.02%
RCRB11;Feb 07, 2024;0.93;1M;Feb 15, 2024;6.77%
RCRB11;Jan 09, 2024;0.93;1M;Jan 15, 2024;6.93%
RCRB11;Dec 08, 2023;0.80;1M;Dec 15, 2023;6.39%
HGPO11;Nov 01, 2024;58.80;O;Nov 14, 2024;24.83%
HGPO11;Oct 01, 2024;1.75;1M;Oct 14, 2024;7.13%
HGPO11;Sep 02, 2024;1.70;1M;Sep 13, 2024;6.73%
HGPO11;Aug 01, 2024;1.70;1M;Aug 14, 2024;6.62%
HGPO11;Jul 01, 2024;1.70;1M;Jul 12, 2024;6.58%
HGPO11;Jun 03, 2024;1.70;1M;Jun 14, 2024;6.62%
