CNPJ_Fundo_Classe;Data_Referencia;Versao;Nome_Imovel;Endereco;Data_Alienacao;Area;Numero_Unidades;Outras_Caracteristicas_Relevantes;Percentual_Imovel_Total_Investido;Percentual_Imovel_PL
08.098.114/0001-28;2025-06-30;1;Loja - Tijuca;Cidade do Rio de Janeiro, Rio de Janeiro, na Rua Conde do Bonfim, 366;2025-05-23;5649;1;Cidade do Rio de Janeiro, Rio de Janeiro, na Rua Conde do Bonfim, 366;0.0543;0.0511
08.098.114/0001-28;2025-09-30;1;Loja - Centro São Luiz;Rua Oswaldo Cruz nº298 e 290 Rua Sete de Setembro nºs 615, 621, 627 e 631 Rua José Augusto Correa nº 295, e está situado na cidade de São Luís do Maranhão, Maranhão;2025-07-02;4875.16;1;N/D;0.0163;0.0145
08.431.747/0001-06;2025-09-30;1;Shopping Jardim Sul;R. Itacaiúna, 61 - Piso 1 - Vila Andrade, São Paulo - SP, 05716-070;2025-09-16;28.7;158;Fração ideal de 10% do imóvel;0.020069;0.022421
08.706.065/0001-69;2025-03-31;1;Ibis Sao Paulo Paulista;Avenida Paulista, 2355, Sem Complemento, Bela Vista, Sao Paulo/SP, Brasil, 01311-300;2025-02-03;106.2;1;Direito de Propriedade;0.00151874087215;0.00153433998849
08.706.065/0001-69;2025-06-30;1;Estanplaza Funchal;Rua Funchal, 281, Sem Complemento, Vila Olimpia, Sao Paulo/SP, Brasil, 04551-060;2025-04-16;58.26;2;Direito de Propriedade.;0.00256672432798;0.0258457476756
08.706.065/0001-69;2025-06-30;1;Blue Tree Faria Lima;Avenida Brigadeiro Faria Lima, 3989, Sem Complemento, Itaim Bibi, São Paulo/SP, Brasil, 00004-538;2025-06-25;28;1;Direito de Propriedade.;0.00188366249703;0.01907553702576
08.706.065/0001-69;2025-06-30;1;Estanplaza Funchal;Rua Funchal, 281, Sem Complemento, Vila Olimpia, Sao Paulo/SP, Brasil, 04551-060;2025-05-12;60.2;2;Direito de Propriedade.;0.00259100605771;0.02609758337259
08.706.065/0001-69;2025-06-30;1;Melia Jardim Europa;Rua Joao Cachoeira, 111, Sem Complemento, Vila Nova Conceicao, Sao Paulo/SP, Brasil, 04535-010;2025-05-22;33.82;1;Direito de Propriedade.;0.00220802888494;0.02224009385949
08.706.065/0001-69;2025-09-30;1;Ibis Sao Paulo Morumbi;Avenida Roque Petroni Junior, 800, Sem Complemento, Jardim Das Acacias, Sao Paulo/SP, Brasil, 04707-000;2025-07-06;46.6;1;Direito de Propriedade.;0.00117861865846;0.01193163979012
08.706.065/0001-69;2025-09-30;1;Ibis Sao Paulo Morumbi;Avenida Roque Petroni Junior, 800, Sem Complemento, Jardim Das Acacias, Sao Paulo/SP, Brasil, 04707-000;2025-07-06;46.6;1;Direito de Propriedade.;0.00117861865846;0.01193163979012
08.706.065/0001-69;2025-09-30;1;Intercity Nacoes Unidas;Rua Fernandes Moreira, 1371, Sem Complemento, Chacara Santo Antonio Zona Sul, Sao Paulo/SP, Brasil, 04716-003;2025-07-20;24.4;2;Direito de Propriedade.;0.00195650697304;0.0198065220516
08.706.065/0001-69;2025-09-30;1;Ibis Sao Paulo Morumbi;Avenida Roque Petroni Junior, 800, Sem Complemento, Jardim Das Acacias, Sao Paulo/SP, Brasil, 04707-000;2025-07-20;46.6;1;Direito de Propriedade.;0.00117861865846;0.01193163979012
08.706.065/0001-69;2025-09-30;1;Ibis Sao Paulo Morumbi;Avenida Roque Petroni Junior, 800, Sem Complemento, Jardim Das Acacias, Sao Paulo/SP, Brasil, 04707-000;2025-08-17;46.6;1;Direito de Propriedade.;0.00118583885976;0.01198400368927
08.706.065/0001-69;2025-09-30;1;Intercity Nacoes Unidas;Rua Fernandes Moreira, 1371, Sem Complemento, Chacara Santo Antonio Zona Sul, Sao Paulo/SP, Brasil, 04716-003;2025-08-20;24.4;1;Direito de Propriedade.;0.00104353819659;0.01054592324656
08.706.065/0001-69;2025-09-30;1;Estanplaza Funchal;Rua Funchal, 281, Sem Complemento, Vila Olimpia, Sao Paulo/SP, Brasil, 04551-060;2025-09-02;29.1;1;Direito de Propriedade.;0.00130900470376;0.01320250784943
