CNPJ_Fundo_Classe;Data_Referencia;Versao;Endereco;Data_Alienacao;Area;Outras_Caracteristicas_Relevantes;Percentual_Terreno_Total_Investido;Percentual_Terreno_PL
12.927.767/0001-40;2025-06-30;1;Avenida Francisco Bicalho, nº 146, Bairro Santo Cristo, Município do Rio de Janeiro, Estado do Rio de Janeiro.;2025-05-12;14141;Terreno denominado "USINA DE ASLFALTO" transferido o domínio por meio de Escritura Pública de Compra e Venda do 15° Ofício de Notas do Rio de Janeiro em 12/05/2025.;0.226699;0.656496
12.927.767/0001-40;2025-06-30;1;Avenida Pedro II, nº 67, Bairro São Cristóvão, Município do Rio de Janeiro, Estado do Rio de Janeiro;2025-05-12;18400;Terreno denominado "CEDAE" transferido o domínio por meio de Escritura Pública de Compra e Venda do 15° Ofício de Notas do Rio de Janeiro em 12/05/2025.;0.260435;0.588637
12.927.767/0001-40;2025-06-30;1;Avenida Francisco Bicalho, nº 49, Bairro Santo Cristo, Município do Rio de Janeiro, Estado do Rio de Janeiro;2025-05-12;32240;Terreno denominado "APLAUSO" transferido o domínio por meio de Escritura Pública de Compra e Venda do 15° Ofício de Notas do Rio de Janeiro em 12/05/2025.;0.395975;0.893755
12.927.767/0001-40;2025-06-30;1;Rua General Luiz Mendes de Moraes, nº 50, Bairro Santo Cristo, Município do Rio de Janeiro, Estado do Rio de Janeiro;2025-05-12;15021.2;Terreno denominado "CLUBE DOS PORTUÁRIOS" transferido o domínio por meio de Escritura Pública de Compra e Venda do 15° Ofício de Notas do Rio de Janeiro em 12/05/2025.;0.116892;0.348199
13.320.290/0001-00;2025-03-31;1;Avenida Francisco Roveri, S/n°, Sem Complemento, Parque Almerinda Pereira Chaves, Jundiaí/SP, Brasil, 13212-541;2025-02-24;108557;Direito de Propriedade;0;0
13.320.290/0001-00;2025-03-31;1;Avenida Luiz Gushiken, S/n°, Sem Complemento, Fazenda Grande, Jundiaí/SP, Brasil, 13212-437;2025-02-24;27093.3;Direito de Propriedade;0;0
13.598.226/0001-88;2025-06-30;1;PERNAMBUCO, 14;2025-04-22;1280;ID 151 MATRICULAS 50772 E 50773;0.0078;0.0336
13.598.226/0001-88;2025-09-30;2;RODOVIA WALDOMIRO CORREA CAMARGO KM 63 - ITU - SP;2025-09-30;164997;ID 164 RODOVIA WALDOMIRO CORREA CAMARGO KM 63 - ITU - SP;0.0667;0.3366
16.915.968/0001-88;2025-03-31;1;Rua Luís Gemin, Bairro Descampado, Campinas - SP;2025-03-27;177057;Não possui;0.917143;0.013834
29.018.899/0001-51;2025-06-30;1;Avenida Paulista, 1267, Sem Complemento, Bela Vista, Sao Paulo/SP, Brasil, 01311-200;2025-04-09;1126;Não possuem catacteristicas que destoem dos demais;95.276180933106;98.3851124465446
30.258.790/0001-70;2025-06-30;1;KAISER - TERRENO;2025-04-30;159501;Rua dos Operários, s/nº, Centro das Indústrias do Subaé - Feira de Santana/BA;0.2396;0.3227
51.472.985/0001-99;2025-06-30;1;N/A;;;N/A;;
53.087.126/0001-01;2025-06-30;1;Estr. Palmeira - Três Barras, Garuva - SC, 89248-000;2025-04-02;301.2;Lote 24 Quadra 3;0.0137;0.0118
53.087.126/0001-01;2025-06-30;1;Estr. Palmeira - Três Barras, Garuva - SC, 89248-000;2025-04-02;301;Lote 21 Quadra 3;0.0293;0.0252
53.087.126/0001-01;2025-06-30;1;Estr. Palmeira - Três Barras, Garuva - SC, 89248-000;2025-04-02;300;Lote 9 Quadra 10;0.0197;0.017
53.087.126/0001-01;2025-06-30;1;Estr. Palmeira - Três Barras, Garuva - SC, 89248-000;2025-04-02;300;Lote 3 quadra 18;0.0337;0.029
53.087.126/0001-01;2025-06-30;1;Estr. Palmeira - Três Barras, Garuva - SC, 89248-000;2025-04-03;301.18;Lote 19 Quadra 3;0.0293;0.0252
53.087.126/0001-01;2025-06-30;1;Estr. Palmeira - Três Barras, Garuva - SC, 89248-000;2025-04-08;301.72;Lote 20 Quadra 3;0.0294;0.0253
53.087.126/0001-01;2025-06-30;1;Estr. Palmeira - Três Barras, Garuva - SC, 89248-000;2025-04-08;300.32;Lote 22 Quadra 3;0.0297;0.0256
53.087.126/0001-01;2025-06-30;1;Estr. Palmeira - Três Barras, Garuva - SC, 89248-000;2025-04-08;300;Lote 12 Quadra 10;0.0313;0.0269
53.087.126/0001-01;2025-06-30;1;Estr. Palmeira - Três Barras, Garuva - SC, 89248-000;2025-04-16;300;Lote 4 Quadra 18;0.0238;0.0205
53.087.126/0001-01;2025-09-30;1;Estr. Palmeira - Três Barras, Garuva - SC, 89248-000;2025-07-09;300;Quadra 4 lote 21;0.0294;0.0051
53.087.126/0001-01;2025-09-30;1;Estr. Palmeira - Três Barras, Garuva - SC, 89248-000;2025-07-15;300;Quadra 18 lote 5;0.0277;0.0048
53.087.126/0001-01;2025-09-30;1;Estr. Palmeira - Três Barras, Garuva - SC, 89248-000;2025-08-07;300;Quadra 11 lote 20;0.0298;0.0052
53.087.126/0001-01;2025-12-31;1;Estr. Palmeira - Três Barras, Garuva - SC, 89248-000;2025-11-26;300;Quadra 4 lote 7;0.0338520051294336;0.00525149558412634
53.087.126/0001-01;2025-12-31;1;Estr. Palmeira - Três Barras, Garuva - SC, 89248-000;2025-12-02;300;Quadra 11 lote 23;0.0329486019374502;0.00516739322102955
53.087.126/0001-01;2025-12-31;1;Estr. Palmeira - Três Barras, Garuva - SC, 89248-000;2025-12-09;300;Quadra 10 lote 11;0.0351192753617654;0.00537228937796279
53.087.126/0001-01;2025-12-31;1;Estr. Palmeira - Três Barras, Garuva - SC, 89248-000;2025-12-09;300;Quadra 11 lote 19;0.0351188172535454;0.00537221929992448
53.087.126/0001-01;2025-12-31;1;Estr. Palmeira - Três Barras, Garuva - SC, 89248-000;2025-12-17;300;Quadra 8 lote 6;0.0332511320573929;0.00502834213297836
