CNPJ_Fundo_Classe;Data_Referencia;Versao;Endereco;Area;Outras_Caracteristicas_Relevantes;Percentual_Terreno_Total_Investido;Percentual_Terreno_PL
01.356.517/0001-80;2025-06-30;1;Rua Salvador Allende, 0 LT 02 pal 50093;2000;;0.009714;0.014531
07.789.135/0001-27;2025-12-31;1;Rua Dr. José Borges, no bairro de Lagoa Nova, zona suburbana, Natal/RN;763.8;Em 18/12/2025, o FII Ancar realizou a aquisição de 53,13% do terreno anexo ao Midway Mall. Matrículas 5.547 e 5.548 do 6º Ofício Imóveis de Natal - RN;0.1133;0.000331
07.789.135/0001-27;2025-12-31;1;Avenida Bernardo Vieira, lado par, esquina com a Avenida Dr. José Gonçalves, no bairro de Lagoa Nova, zona urbana/sul, Natal/RN;5459.09;Em 18/12/2025, o FII Ancar realizou a aquisição de 53,13% do terreno anexo ao Midway Mall.  Matrícula 58.035 do 2º RGI de Natal.;0.8867;0.002586
11.268.335/0001-01;2025-12-31;1;Fazenda Indaiatuba - Alameda Porteira de Ferro;37303;Nenhuma característica relevante;0.189934356327006;0.08227
12.989.974/0001-29;2025-06-30;1;Avenida Francisco Bicalho, nº 146, Bairro Santo Cristo, Município do Rio de Janeiro, Estado do Rio de Janeiro.;14141;Terreno denominado "USINA DE ASLFALTO" transferido o domínio por meio de Escritura Pública de Compra e Venda do 15° Ofício de Notas do Rio de Janeiro em 12/05/2025.;0.226699;0.656496
12.989.974/0001-29;2025-06-30;1;Avenida Pedro II, nº 67, Bairro São Cristóvão, Município do Rio de Janeiro, Estado do Rio de Janeiro;18400;Terreno denominado "CEDAE" transferido o domínio por meio de Escritura Pública de Compra e Venda do 15° Ofício de Notas do Rio de Janeiro em 12/05/2025.;0.260435;0.588637
12.989.974/0001-29;2025-06-30;1;Avenida Francisco Bicalho, nº 49, Bairro Santo Cristo, Município do Rio de Janeiro, Estado do Rio de Janeiro;32240;Terreno denominado "APLAUSO" transferido o domínio por meio de Escritura Pública de Compra e Venda do 15° Ofício de Notas do Rio de Janeiro em 12/05/2025.;0.395975;0.893755
12.989.974/0001-29;2025-06-30;1;Rua General Luiz Mendes de Moraes, nº 50, Bairro Santo Cristo, Município do Rio de Janeiro, Estado do Rio de Janeiro;15021.2;Terreno denominado "CLUBE DOS PORTUÁRIOS" transferido o domínio por meio de Escritura Pública de Compra e Venda do 15° Ofício de Notas do Rio de Janeiro em 12/05/2025.;0.116892;0.348199
13.320.290/0001-00;2025-06-30;1;Zona Rural, S/n, Sem Complemento, Várzea Nova, Várzea Nova/BA, Brasil, 44690-000;425.62;Direito de Propriedade;0.3814496725516;0.38820297701059
13.598.226/0001-88;2025-12-31;1;AV MARGINAL DO CANAL, 2248;80.3;- ID 1 MATRÍCULA 88.345;0.00256274309708408;0
13.598.226/0001-88;2025-12-31;1;RUA TIBIRIÇA E RUA ESTEVÃO QUADRA 72 - SP;100.54;- ID 108 MATRÍCULA 84.848;0.00257467808101112;0
13.598.226/0001-88;2025-12-31;1;RM. ANA R. P. DE FREITAS S/N;10000;- ID 115 MATRÍCULA 26.506;0.000638137497650867;0
13.598.226/0001-88;2025-12-31;1;PQ AGUA SANTA ST 01, 02, 05;17220;- ID 138, 138.2 e 138.5 MATRÍCULAS 2.334, 2.335 E 2.336;0.0013;0
13.598.226/0001-88;2025-12-31;1;EM. RNP 321;1153.03;-  ID 194 MATRÍCULA 53.070;0.000262709962184168;0
13.598.226/0001-88;2025-12-31;1;AV MARGINAL DO CANAL, 2254;79.2;- ID 2 MATRÍCULA 88.347;0.00256202890066771;0
13.598.226/0001-88;2025-12-31;1;QUADRA "E" DO JARDIM SANTA - SÃO JOSE DO RIO PARDO - SP;7606;- ID 201 MATRÍCULA 3.824;0.00380961414979295;0
13.598.226/0001-88;2025-12-31;1;AV MARGINAL DO CANAL, 2244;159.85;- ID 210 MATRÍCULA 88.344;0.00262476386626849;0
13.598.226/0001-88;2025-12-31;1;RUA BARTOLOMEU FEIO, 1015;38;- ID 217 MATRÍCULA 195.035;0.000891402259841646;0
13.598.226/0001-88;2025-12-31;1;RUA BARTOLOMEU FEIO, 1029;153;- ID 218 MATRÍCULA 66.612;0.00335934187712879;0
13.598.226/0001-88;2025-12-31;1;AV MARGINAL DO CANAL, 2250;79.2;- ID 3 MATRÍCULA 88.346;0.00256202885305461;0
13.598.226/0001-88;2025-12-31;1;RUA CALIFORNIA, 37;123.3;- ID 335 MATRÍCULA 97.919;0.00286471286479391;0
13.598.226/0001-88;2025-12-31;1;LOTE0P1, AV. BRASIL, LADO IMPAR - PRESIDENTE PRUDENTE - SP;3683;- ID 344 MATRÍCULA 99.795;0.013752659896176;0
13.598.226/0001-88;2025-12-31;1;AV. DR. HUBERT RICHARD PONTES;4000;- ID 351 MATRÍCULA 82.932;0.0128035561366237;0
13.598.226/0001-88;2025-12-31;1;RUA SANTO ANTÔNIO, 3076;4200;- ID 352 MATRÍCULA 48.125;0.00418813187031399;0
13.598.226/0001-88;2025-12-31;1;AV. DR. PLÍNIO SALGADO, 4120 - BRAGANÇA PAULISTA;277530;- ID 354 MATRÍCULA 710;0.207959290190248;0
13.598.226/0001-88;2025-12-31;1;RUA BENTO DE ABREU S/Nº;600;- ID 357 CERTIDÃO 7.769;0.00102674186177339;0
13.598.226/0001-88;2025-12-31;1;AV. ANTENOR SILVÉRIO FONSECA, S/Nº;4000;- ID 358 TRANSCRIÇÃO 24.170;0.00082013131389861;0
13.598.226/0001-88;2025-12-31;1;RUA SÃO JOSÉ - ARIRANHA - SP;968;- ID 359 MATRÍCULA 662;0.000761471981567482;0
13.598.226/0001-88;2025-12-31;1;RUA ALCIDES FERREIRA DE OLIVEIRA;968;- ID 360 MATRÍCULA 622;0.000645562759726386;0
13.598.226/0001-88;2025-12-31;1;RUA CHAMANTÁ X RUA SANTO ANTÔNIO - VILA PRUDENTE;7133.55;- ID 363 TRANSCRIÇÃO 188.822;0.137069099973624;0
13.598.226/0001-88;2025-12-31;1;AV. BARÃO DO BANANAL, Nº 1950;30979;- ID 368 MATRÍCULA 28.088;0.0687911319532912;0
13.598.226/0001-88;2025-12-31;1;RUA BARTOLOMEU FEIO, 1001;150.4;- ID 37 MATRÍCULA 171.050;0.00342416110593801;0
13.598.226/0001-88;2025-12-31;1;RUA ARLINDO DÉCIO GRANETTO, Nº 04 QD 08 - BARRA BONITA - SP;1125;- ID 371 MATRÍCULA 9.110;0.00111414640953602;0
13.598.226/0001-88;2025-12-31;1;AV. BRIGADEIRO LUIZ ANTÔNIO, Nº 52;36.26;- ID 7 MATRÍCULA 25.851;0.00010004987144539;0
13.598.226/0001-88;2025-12-31;1;AV. BRIGADEIRO LUIZ ANTÔNIO, Nº 53;36.26;- ID 6 MATRÍCULA 25.852;0.00010004987144539;0
13.598.226/0001-88;2025-12-31;1;RUA ESTEVÃO BAIÃO, Nº11;184;- ID 62 MATRÍCULA 95.037;0.00346232900036924;0
13.598.226/0001-88;2025-12-31;1;AV MARGINAL DO CANAL, 2270;125;- ID 5 MATRÍCULA 108.827;0.00281768074534747;0
13.598.226/0001-88;2025-12-31;1;RUA GUARAIUVA, Nº33;40;- ID 70 MATRÍCULA 77.649;0.000833708616291639;0
13.598.226/0001-88;2025-12-31;1;RUA CONDE DE PORTO ALEFRE, 669;196.25;- ID 85 MATRÍCULA 274.003;0.00284466151472578;0
18.950.957/0001-64;2025-06-30;2;Avenida Joao Bettega - Curitiba/PR;24112.4;Nenhuma característica relevante;0.01247;0.02012
18.950.957/0001-64;2025-09-30;1;Bairro Operário, Novo Hamburgo - RS;20000;Nenhuma característica relevante;0.0165545565299834;0.0165545565299834
18.950.957/0001-64;2025-09-30;1;Lote 02 da Quadra A do Loteamento Acesso Controlado Q3, Canoas -RS;24131.8;Contrato de locação longo prazo;0.0412878432761773;0.0412878432761773
18.950.957/0001-64;2025-09-30;1;Avenida Nestor de Moura Jardim, Guaíba - RS;28518.6;Contrato de locação longo prazo;0.0145844660199629;0.0145844660199629
27.882.272/0001-19;2025-12-31;1;R. Dr. Pedro II, n° 192 - Guarulhos/SP;5120.39;-;1;1.0238
28.548.288/0001-52;2025-03-31;1;OBRAMAX _SAOGONÇALO;18657.8;n/a;0;0
30.492.505/0001-81;2025-12-31;1;Estrada dos Bandeirantes, Quadra VIII do PAL 47972 - Freguesia de Jacarepaguá - Rio de Janeiro/RJ;16992.2;Estrada dos Bandeirantes, Quadra VIII do PAL 47972, objeto da matrícula 459013 do 9º Ofício de Registro de Imóveis do Rio de Janeiro.;0.210047;0.068324
30.492.505/0001-81;2025-12-31;1;Rua Geógrafo Milton Santos, sem número;3978.51;Rua Geógrafo Milton Santos, sem número, objeto da matrícula 99.772 do 2º Ofício de Registro de Imóveis do Rio de Janeiro.;0.087934;0.032937
30.492.505/0001-81;2025-12-31;1;Rua Pedro Alves, nº210 e Juntos e Depois do número 210, Santo Cristo, Rio de Janeiro/RJ;2075.19;Rua Pedro Alves, 210 e Juntos e Depois do número 210, objetos das matrículas 144078 e 19694, ambas do 2º Ofício de Registro de Imóveis do Rio de Janeiro.;0.036095;0.01352
30.492.505/0001-81;2025-12-31;1;Avenida Pastor Martin Luther King Junior, Lote do PAL 47411 e do PAL 47970, Irajá, Rio de Janeiro/RJ;6000;Avenida Pastor Martin Luther King Junior, Lote do PAL 47411 e PAL 47970 objetos das matrículas 211.709, 211.710 e 220.668 do 8º Registro de Imóveis do Rio de Janeiro.;0.121914;0.045664
41.081.336/0001-03;2025-03-31;1;Avenida Guarapiranga, 752 - Vila Socorro, São Paulo - SP;10705.5;Shopping Fiesta;0.861818;0
41.650.310/0001-39;2025-12-31;1;Avenida Capitão Júlio Bezerra, Lotes 42, Bairro Nossa Senhora Aparecida, Manaus,Amazonas.;1160;Matricula 1025;1;0.00718946689730996
41.650.310/0001-39;2025-12-31;1;Rua Amparo do Itororó, bairro Alvorada,Manaus, Amazonas.;16550.4;Matrícula 12.657;1;0.0698135075028257
41.650.310/0001-39;2025-12-31;1;Avenida Max Teixeira, Bairro Cidade Nova, Manaus, Amazonas;3000;Matrícula 15240;1;0.0212530731964338
41.650.310/0001-39;2025-12-31;1;Avenida Capitão Júlio Bezerra, Lotes 96, Bairro Nossa Senhora Aparecida, Manaus,Amazonas.;984;Matrícula 16408;1;0.00623087131100197
41.650.310/0001-39;2025-12-31;1;Ruas Dona Clô e Alvaro Maia, Lote 490,Bairro Nossa Senhora Aparecida,Manaus, Amazonas,;1078;Matrícula 2319;1;0.0044398111365844
41.650.310/0001-39;2025-12-31;1;Avenida Capitão Júlio Bezerra, Lotes 62, Bairro Nossa Senhora Aparecida, Manaus,Amazonas.;630;Matrícula 2396;1;0.00422538843964708
41.650.310/0001-39;2025-12-31;1;Avenida Desembargador João Machado, Lote 4, Bairro Campos Elíseos,Manaus, Amazonas;1.37967e+006;Matrícula 3574;1;0.00394159369370064
41.650.310/0001-39;2025-12-31;1;Avenida Capitão Júlio Bezerra, Lotes 83, Bairro Nossa Senhora Aparecida, Manaus,Amazonas.;980;Matrícula 5384;1;0.00620564511136228
41.650.310/0001-39;2025-12-31;1;Ruas Dona Clô e Alvaro Maia, Lote 490,Bairro Nossa Senhora Aparecida,Manaus, Amazonas,;969.3;Matrícula 52563;1;0.00484343033081934
41.650.310/0001-39;2025-12-31;1;Ruas Dona Clô e Alvaro Maia, Lote 490,Bairro Nossa Senhora Aparecida,Manaus, Amazonas,;947.75;Matrícula 6.232;1;0.00403934521730441
41.650.310/0001-39;2025-12-31;1;Rua Moacir Baima, nº 407, Parque 10 de novembro, Manaus, Amazonas.;1000;Matrícula 64.777;1;0.00785165463785167
42.031.201/0001-04;2025-12-31;1;Avenida Dr. Jesuíno Marcondes Machado, nº 505 Arruamento Nova Campinas, CEP 13092108, na cidade de Campinas, Estado de São Paulo;1280;32,00 metros (trinta e dois metros) de frente pela referida avenida igual medida nos fundos, onde confronta com os lotes 10, 11 e 12 da mesma quadra por 40,00 metros (quarenta metros) da frente aos fundos, de ambos os lados;0.0484;0.0602
42.537.540/0001-59;2025-03-31;1;Avenida Dos Bandeirantes, S/n°,  Costazul, Rio Das Ostras/RJ, Brasil, 28895-314;990;Direito de Propriedade;0.037925;0.039871
47.669.336/0001-05;2025-06-30;1;FAZENDA BARRA DO RIBEIRO;2666.66;MATRICULA 4837;0.2227;0.3022
47.669.336/0001-05;2025-09-30;1;60.375 ALPHAVILE PR;754.85;MATRICULA 60.375;0.5;0.0417
49.318.661/0001-59;2025-12-31;1;MT106889;6177.25;Não possui informação apresentada;0;0
49.893.516/0001-00;2025-03-31;1;Área 07 - Campina, Bairro de São Miguel - Guarulhos, São Paulo;63806.6;Matrícula 146.645 - Ativo adquirido via Escritura de Permuta - O Fundo assinou a Escritura de Permuta no dia 05 de fevereiro de 2024, sendo a Bekaa a proprietária do terreno situado em Guarulhos, Estado de São Paulo, devidamente identificado na matrícula nº 146.645, no qual o Fundo adquiriu, a título de permuta, a parte ideal de 64,2857%, em troca das construções, benfeitorias e acessões, que correspondem a 35,7143% da área total do Empreendimento.;0.642857;1.1331
49.996.755/0001-87;2025-06-30;1;Lote rural de n.° 13, da Gleba Mato Escuro, situado em Barra de Macaé, 2° distrito deste Município, não foreira e fora do perímetro urbano.;;Uma área de terras, desmembrada de maior porção do loterural de n.° 13, da Gleba Mato Escuro, situado em Barra de Macaé, 2° distrito desteMunicípio, não foreira e fora do perímetro urbano;0.926464;0.926744770330146
50.957.247/0001-79;2025-06-30;1;Linha Verde - Av. Santa Bernadethe - Fanny, Curitiba - PR, 81650-200;10637.3;Matrículas: 55.467 / 55.468 / 55.469 / 55.470 / 55.471 / 55.472 / 55.710 / 55.711 /55.712 / 56.677 / 56.678 / 56.679 / 56.680 / 56.681 / 56.682;0;0
50.957.247/0001-79;2025-06-30;1;Estrada José Kalinoski - Contorno, Ponta Grossa - PR, 84060-160, lote 12/R2-1.;14783.5;Matrícula: 80.552;0;0
50.957.247/0001-79;2025-12-31;1;Rua Eduardo Pinto da Rocha, 4031, Ganchinho - Curitiba/PR;12218.8;MAT. 123.587 E 123.588;0;0
51.472.985/0001-99;2025-06-30;1;N/A;;N/A;;
51.710.043/0001-00;2025-06-30;1;Fazenda Santa Helena - Gleba da Mamica e Gleba da Lagoa - Jardinópolis - SP;1.89018e+006;Imóvel rural situado no município de Jardinópolis - SP, com área de 53,0971 hectares, denominado Gleba Mamica, objeto da matrícula 29.799 do Registro de Imóveis da Comarca de Jardinópolis - SP. E Imóvel rural com área de 135,9206 hectares, localizado no município de Jardinópolis - SP, denominado Gleba Lagoa, objeto da matrícula 29.800 do Registro de Imóveis da Comarca de Jardinópolis - SP. Ambos estão cadastrados em área maior no INCRA sob o CCIR nº 950.076.051.837-4;0.259338;0.314333
