CNPJ_Fundo_Classe;Data_Referencia;Versao;Classe;Nome_Endereco_Imovel;Justificativa_Evolucao_Inferior_Previsto;Justificativa_Custo_Superior_Previsto
01.235.622/0001-61;2025-03-31;1;Imóveis para venda em construção;Glória Residencial;N.A.;N.A.
01.235.622/0001-61;2025-03-31;1;Imóveis para venda em construção;Arete Toriba - Toriba Sudoeste;N.A.;N.A.
01.235.622/0001-61;2025-03-31;1;Imóveis para venda em construção;Tiê Residencial;N.A.;N.A.
01.235.622/0001-61;2025-03-31;1;Imóveis para venda em construção;Zenture;N.A.;N.A.
01.235.622/0001-61;2025-03-31;1;Imóveis para venda em construção;All - Jardim Oceânico;N.A.;N.A.
01.235.622/0001-61;2025-03-31;1;Imóveis para venda em construção;Nurban;N.A.;N.A.
01.235.622/0001-61;2025-03-31;1;Imóveis para venda em construção;S Design;N.A.;N.A.
01.235.622/0001-61;2025-03-31;1;Imóveis para venda em construção;Lineu 708;N.A.;N.A.
01.235.622/0001-61;2025-06-30;1;Imóveis para venda em construção;Lineu 708;N.A.;N.A.
01.235.622/0001-61;2025-06-30;1;Imóveis para venda em construção;S Design;N.A.;N.A.
01.235.622/0001-61;2025-06-30;1;Imóveis para venda em construção;Glória Residencial;N.A.;N.A.
01.235.622/0001-61;2025-06-30;1;Imóveis para venda em construção;Zenture;N.A.;N.A.
01.235.622/0001-61;2025-06-30;1;Imóveis para venda em construção;Tiê Residencial;N.A.;N.A.
01.235.622/0001-61;2025-06-30;1;Imóveis para venda em construção;Nurban;N.A.;N.A.
01.235.622/0001-61;2025-06-30;1;Imóveis para venda em construção;Arete Toriba - Toriba Sudoeste;N.A.;N.A.
01.235.622/0001-61;2025-06-30;1;Imóveis para venda em construção;All - Jardim Oceânico;N.A.;N.A.
01.235.622/0001-61;2025-09-30;1;Imóveis para venda em construção;All - Jardim Oceânico;N.A.;N.A.
01.235.622/0001-61;2025-09-30;1;Imóveis para venda em construção;S Design;N.A.;N.A.
01.235.622/0001-61;2025-09-30;1;Imóveis para venda em construção;Nurban;N.A.;N.A.
01.235.622/0001-61;2025-09-30;1;Imóveis para venda em construção;Lineu 708;N.A.;N.A.
01.235.622/0001-61;2025-09-30;1;Imóveis para venda em construção;Arete Toriba - Toriba Sudoeste;N.A.;N.A.
01.235.622/0001-61;2025-09-30;1;Imóveis para venda em construção;Glória Residencial;N.A.;N.A.
01.235.622/0001-61;2025-09-30;1;Imóveis para venda em construção;Tiê Residencial;N.A.;N.A.
01.235.622/0001-61;2025-09-30;1;Imóveis para venda em construção;Zenture;N.A.;N.A.
01.235.622/0001-61;2025-12-31;1;Imóveis para venda em construção;GREEN PARK BARRA (Lt. 1 Fases - 1 e 2);n/a;n/a
01.235.622/0001-61;2025-12-31;1;Imóveis para venda em construção;SOROCABA 420, 422 E 436;n/a;n/a
01.235.622/0001-61;2025-12-31;1;Imóveis para venda em construção;RUA TONELERO, 61;n/a;n/a
01.235.622/0001-61;2025-12-31;1;Imóveis para venda em construção;SIQUEIRA CAMPOS, 37;n/a;n/a
01.235.622/0001-61;2025-12-31;1;Imóveis para venda em construção;NASCIMENTO SILVA 387 E REDENTOR 150;n/a;n/a
01.235.622/0001-61;2025-12-31;1;Imóveis para venda em construção;HOTEL GLORIA;n/a;n/a
01.235.622/0001-61;2025-12-31;1;Imóveis para venda em construção;HOMEM DE MELO - TIJUCA;n/a;n/a
01.235.622/0001-61;2025-12-31;1;Imóveis para venda em construção;BARAO DA TORRE, 662;n/a;n/a
01.235.622/0001-61;2025-12-31;1;Imóveis para venda em construção;MARIA QUITERIA 46 E PRUDENTE DE MORAIS 1050;n/a;n/a
01.235.622/0001-61;2025-12-31;1;Imóveis para renda em construção;PISCINA DE ONDAS;n/a;n/a
01.235.622/0001-61;2025-12-31;1;Imóveis para renda em construção;ARETE - MIRÁ CENTER (INSTITUTO DOMINUS);n/a;n/a
01.235.622/0001-61;2025-12-31;1;Imóveis para renda em construção;CASTELINHO - GLORIA;n/a;n/a
01.235.622/0001-61;2025-12-31;1;Imóveis para venda em construção;FERNANDES GUIMARAES 75, 79, 81;n/a;n/a
01.235.622/0001-61;2025-12-31;1;Imóveis para venda em construção;PRUDENTE DE MORAIS, 589;n/a;n/a
08.417.532/0001-30;2025-03-31;1;Imóveis para renda em construção;Expansão Lubrax;NA;NA
08.417.532/0001-30;2025-06-30;1;Imóveis para renda em construção;Expansão Lubrax;NA;NA
08.417.532/0001-30;2025-09-30;2;Imóveis para renda em construção;Expansão Lubrax;NA;NA
08.417.532/0001-30;2025-12-31;1;Imóveis para renda em construção;Expansão Lubrax;NA;NA
11.728.688/0001-47;2025-03-31;1;Imóveis para renda em construção;-;;
11.728.688/0001-47;2025-06-30;1;Imóveis para renda em construção;-;;
12.989.974/0001-29;2025-03-31;2;Imóveis para renda em construção;Pátio da Marítima Torre II;O início da construção pelo incorporador depende de condições mercadológicas;O FII PM não arca com custo de construção.
12.989.974/0001-29;2025-06-30;1;Imóveis para renda em construção;Pátio da Marítima Torre II;O início da construção pelo incorporador depende de condições mercadológicas;O FII PM não arca com custo de construção.
12.989.974/0001-29;2025-09-30;1;Imóveis para renda em construção;Pátio da Marítima Torre II;O início da construção pelo incorporador depende de condições mercadológicas;O FII PM não arca com custo de construção.
12.989.974/0001-29;2025-12-31;1;Imóveis para renda em construção;Pátio da Marítima Torre II;O início da construção pelo incorporador depende de condições mercadológicas;O FII PM não arca com custo de construção.
13.584.584/0001-31;2025-03-31;1;Imóveis para renda em construção;Não se aplica;Não se aplica;Não se aplica
13.584.584/0001-31;2025-06-30;1;Imóveis para renda em construção;Não se aplica;Não se aplica;Não se aplica
13.584.584/0001-31;2025-09-30;1;Imóveis para renda em construção;Não se Aplica;Não se Aplica;Não se Aplica
13.584.584/0001-31;2025-12-31;1;Imóveis para renda em construção;Não se Aplica;Não se Aplica;Não se Aplica
14.721.889/0001-00;2025-03-31;1;Imóveis para venda em construção;Crystal Blue;Atraso na contratação de serviços.;N.A.
14.721.889/0001-00;2025-03-31;1;Imóveis para venda em construção;Blanc 260;Replanejamento de cronograma;Antecipação de compra de mateiral.
14.721.889/0001-00;2025-03-31;1;Imóveis para venda em construção;Iluminato;Prazo de obra replanejado, após atraso no desmonte de rocha.;N.A.
14.721.889/0001-00;2025-03-31;1;Imóveis para venda em construção;Costa Mare;N.A.;N.A.
14.721.889/0001-00;2025-03-31;1;Imóveis para venda em construção;Highlight e Spotlight - Jardim Botafogo;Atraso na contratação de serviços.;N.A.
14.721.889/0001-00;2025-03-31;1;Imóveis para venda em construção;Aretê - Alto Ybirá;N.A.;N.A.
14.721.889/0001-00;2025-03-31;1;Imóveis para venda em construção;Aretê - Peninsula Norte;N.A.;N.A.
14.721.889/0001-00;2025-03-31;1;Imóveis para venda em construção;Maison Laranjeiras;Tarefas replanejadas;N.A.
14.721.889/0001-00;2025-03-31;1;Imóveis para venda em construção;The Gallery;N.A.;N.A.
14.721.889/0001-00;2025-06-30;1;Imóveis para venda em construção;Iluminato;Prazo de obra replanejado, após atraso no desmonte de rocha.;N.A.
14.721.889/0001-00;2025-06-30;1;Imóveis para venda em construção;Costa Mare;N.A.;N.A.
14.721.889/0001-00;2025-06-30;1;Imóveis para venda em construção;The Gallery;N.A.;N.A.
14.721.889/0001-00;2025-06-30;1;Imóveis para venda em construção;Aretê - Peninsula Norte;N.A.;N.A.
14.721.889/0001-00;2025-06-30;1;Imóveis para venda em construção;Aretê - Alto Ybirá;N.A.;N.A.
14.721.889/0001-00;2025-06-30;1;Imóveis para venda em construção;Highlight e Spotlight - Jardim Botafogo;Atraso na contratação de serviços.;N.A.
14.721.889/0001-00;2025-06-30;1;Imóveis para venda em construção;Maison Laranjeiras;Tarefas replanejadas;N.A.
14.721.889/0001-00;2025-06-30;1;Imóveis para venda em construção;Crystal Blue;Atraso na contratação de serviços.;N.A.
14.721.889/0001-00;2025-06-30;1;Imóveis para venda em construção;Blanc 260;Replanejamento de cronograma;Antecipação de compra de mateiral.
15.461.076/0001-91;2025-03-31;1;Imóveis para renda em construção;64 Unidades Standard no Hotel;;
15.461.076/0001-91;2025-03-31;1;Imóveis para renda em construção;51 Unidades Master no Hotel;;
15.461.076/0001-91;2025-03-31;1;Imóveis para renda em construção;3 Centros de Convenções no Hotel;;
15.461.076/0001-91;2025-03-31;1;Imóveis para renda em construção;19 un salas comerciais do THE ONE OFFICE TOWER TAUBATÉ;;
15.461.076/0001-91;2025-06-30;1;Imóveis para renda em construção;3 Centros de Convenções no Hotel;;
15.461.076/0001-91;2025-06-30;1;Imóveis para renda em construção;64 Unidades Standard no Hotel;;
15.461.076/0001-91;2025-06-30;1;Imóveis para renda em construção;51 Unidades Master no Hotel;;
15.461.076/0001-91;2025-06-30;1;Imóveis para renda em construção;18 un salas comerciais do THE ONE OFFICE TOWER TAUBATÉ;;
15.461.076/0001-91;2025-09-30;1;Imóveis para renda em construção;3 Centros de Convenções no Hotel;;
15.461.076/0001-91;2025-09-30;1;Imóveis para renda em construção;51 Unidades Master no Hotel;;
15.461.076/0001-91;2025-09-30;1;Imóveis para renda em construção;16 un salas comerciais do THE ONE OFFICE TOWER TAUBATÉ;;
15.461.076/0001-91;2025-09-30;1;Imóveis para renda em construção;64 Unidades Standard no Hotel;;
15.461.076/0001-91;2025-12-31;1;Imóveis para renda em construção;51 Unidades Master no Hotel;;
15.461.076/0001-91;2025-12-31;1;Imóveis para renda em construção;3 Centros de Convenções no Hotel;;
15.461.076/0001-91;2025-12-31;1;Imóveis para renda em construção;13 un salas comerciais do THE ONE OFFICE TOWER TAUBATÉ;;
15.461.076/0001-91;2025-12-31;1;Imóveis para renda em construção;64 Unidades Standard no Hotel;;
16.915.968/0001-88;2025-03-31;1;Imóveis para renda em construção;Corifeu;de acordo com o previsto;de acordo com o previsto
16.915.968/0001-88;2025-03-31;1;Imóveis para renda em construção;Paes de Barros;de acordo com o previsto;de acordo com o previsto
16.915.968/0001-88;2025-06-30;1;Imóveis para renda em construção;Paes de Barros;de acordo com o previsto;de acordo com o previsto
16.915.968/0001-88;2025-06-30;1;Imóveis para renda em construção;Corifeu;de acordo com o previsto;de acordo com o previsto
16.915.968/0001-88;2025-09-30;1;Imóveis para renda em construção;Corifeu;de acordo com o previsto;de acordo com o previsto
16.915.968/0001-88;2025-09-30;1;Imóveis para renda em construção;Paes de Barros;de acordo com o previsto;de acordo com o previsto
16.915.968/0001-88;2025-12-31;2;Imóveis para renda em construção;Paes de Barros;de acordo com o previsto;de acordo com o previsto
16.915.968/0001-88;2025-12-31;2;Imóveis para renda em construção;Corifeu;de acordo com o previsto;de acordo com o previsto
17.311.079/0001-74;2025-03-31;1;Imóveis para renda em construção;não se aplica;não se aplica;não se aplica
17.311.079/0001-74;2025-06-30;1;Imóveis para renda em construção;não se aplica;não se aplica;não se aplica
17.311.079/0001-74;2025-09-30;1;Imóveis para renda em construção;não se aplica;não se aplica;não se aplica
17.311.079/0001-74;2025-12-31;1;Imóveis para renda em construção;não se aplica;não se aplica;não se aplica
18.369.510/0001-04;2025-03-31;1;Imóveis para renda em construção;.;;
18.369.510/0001-04;2025-06-30;1;Imóveis para renda em construção;.;;
18.369.510/0001-04;2025-09-30;1;Imóveis para renda em construção;.;;
18.369.510/0001-04;2025-12-31;1;Imóveis para renda em construção;.;;
19.249.989/0001-08;2025-03-31;1;Imóveis para venda em construção;Não aplicável;Não aplicável;Não aplicável
19.249.989/0001-08;2025-06-30;1;Imóveis para venda em construção;Não aplicável;Não aplicável;Não aplicável
19.249.989/0001-08;2025-09-30;1;Imóveis para venda em construção;Não aplicável;Não aplicável;Não aplicável
19.249.989/0001-08;2025-12-31;1;Imóveis para venda em construção;Não aplicável;Não aplicável;Não aplicável
20.265.467/0001-70;2025-03-31;1;Imóveis para venda em construção;Informação não apresentada.;;
20.265.467/0001-70;2025-06-30;1;Imóveis para venda em construção;Informação não apresentada.;;
20.265.467/0001-70;2025-09-30;1;Imóveis para venda em construção;Não possui informação apresentada;Não possui informação apresentada;Não possui informação apresentada
20.265.467/0001-70;2025-12-31;1;Imóveis para venda em construção;Não possui informação apresentada;Não possui informação apresentada;Não possui informação apresentada
20.680.775/0001-62;2025-03-31;1;Imóveis para renda em construção;Condomínio Funchal 641;N/A;N/A
20.680.775/0001-62;2025-06-30;1;Imóveis para renda em construção;Condomínio Funchal 641;N/A;N/A
20.680.775/0001-62;2025-09-30;1;Imóveis para renda em construção;NA;NA;NA
21.085.863/0001-89;2025-03-31;1;Imóveis para renda em construção;Eldorado;N/A;
21.085.863/0001-89;2025-06-30;1;Imóveis para renda em construção;Eldorado;N/A;
21.085.863/0001-89;2025-09-30;1;Imóveis para renda em construção;Eldorado;N/A;
22.646.161/0001-90;2025-03-31;1;Imóveis para venda em construção;Frad.E - Unid. 201 - Bl 5 - Village Acqua;não aplicável;não aplicável
22.646.161/0001-90;2025-03-31;1;Imóveis para venda em construção;Frad.E - Unid. 201 - Bl 4 - Village Acqua;não aplicável;não aplicável
22.646.161/0001-90;2025-03-31;1;Imóveis para venda em construção;Frad.E - Unid. 202 - Bl 1 - Village Acqua;não aplicável;não aplicável
22.646.161/0001-90;2025-03-31;1;Imóveis para venda em construção;Frad.E - Unid. 101 - Bl 3 - Village Acqua;não aplicável;não aplicável
