CNPJ_Fundo_Classe;Data_Referencia;Versao;Nome_Imovel;Setor_Atuacao;Percentual_Receita_Imovel;Percentual_Receitas_FII
00.332.266/0001-31;2025-03-31;1;Via Parque Shopping;Serviço;0.203625;0.199506
00.332.266/0001-31;2025-03-31;1;Via Parque Shopping;Comércio;0.796375;0.780266
00.332.266/0001-31;2025-06-30;1;Via Parque Shopping;Serviço;0.270213;0.265132
00.332.266/0001-31;2025-06-30;1;Via Parque Shopping;Comércio;0.729787;0.716064
00.332.266/0001-31;2025-09-30;1;Via Parque Shopping - 100%;-;1;0.981218
00.332.266/0001-31;2025-12-31;1;Via Parque Shopping - 100%;SetorN;0;0
00.332.266/0001-31;2025-12-31;1;Via Parque Shopping - 100%;Setor3;0;0
00.332.266/0001-31;2025-12-31;1;Via Parque Shopping - 100%;Setor2;0;0
00.332.266/0001-31;2025-12-31;1;Via Parque Shopping - 100%;Setor1;0;0
00.762.723/0001-28;2025-03-31;1;CTI;Comércio;0;0
00.762.723/0001-28;2025-03-31;1;CTI;Serviço;0;0
00.762.723/0001-28;2025-06-30;1;CTI;Comércio;0;0
00.762.723/0001-28;2025-06-30;1;CTI;Serviço;0;0
00.762.723/0001-28;2025-09-30;1;ITM;Comércio;0;0
00.762.723/0001-28;2025-09-30;1;ITM;Serviço;0;0
00.762.723/0001-28;2025-12-31;1;ITM;Comércio;0;0
00.762.723/0001-28;2025-12-31;1;ITM;Serviço;0;0
00.868.235/0001-08;2025-03-31;1;Medcenter;Comércio;0.115857;0.113372
00.868.235/0001-08;2025-03-31;1;Medcenter;Serviço;0.884143;0.865173
00.868.235/0001-08;2025-03-31;1;Hotel;Serviço;1;0
00.868.235/0001-08;2025-06-30;1;Medcenter;Comércio;0.113946;0.110774
00.868.235/0001-08;2025-06-30;1;Medcenter;Serviço;0.886054;0.861391
00.868.235/0001-08;2025-06-30;1;Hotel;Serviço;1;0
00.868.235/0001-08;2025-09-30;1;Hotel;Serviço;1;0
00.868.235/0001-08;2025-09-30;1;Medcenter;Serviço;0.910383;0.89217
00.868.235/0001-08;2025-09-30;1;Medcenter;Comércio;0.089617;0.087824
00.868.235/0001-08;2025-12-31;1;Medcenter;Comércio;0.085571;0.08438
00.868.235/0001-08;2025-12-31;1;Medcenter;Serviço;0.914429;0.79683
00.868.235/0001-08;2025-12-31;1;Hotel;Serviço;1;0.104875
01.201.140/0001-90;2025-03-31;1;Grand Plaza Shopping;Comércio;0.765286;0.750516
01.201.140/0001-90;2025-03-31;1;Grand Plaza Shopping;Serviço;0.234714;0.230184
01.201.140/0001-90;2025-06-30;1;Grand Plaza Shopping;Comércio;0.707695;0.685606
01.201.140/0001-90;2025-06-30;1;Grand Plaza Shopping;Serviço;0.292305;0.283181
01.201.140/0001-90;2025-09-30;1;Grand Plaza Shopping;Comércio;0.693475;0.683475
01.201.140/0001-90;2025-09-30;1;Grand Plaza Shopping;Serviço;0.306525;0.300835
01.201.140/0001-90;2025-12-31;1;Grand Plaza Shopping;Comércio;0.657441;0.653432
01.201.140/0001-90;2025-12-31;1;Grand Plaza Shopping;Serviço;0.342559;0.34047
01.235.622/0001-61;2025-03-31;1;Citta America;ENSINO;0;0
01.235.622/0001-61;2025-03-31;1;Citta America;COMERCIO;0;0
01.235.622/0001-61;2025-03-31;1;CESBOM;ENSINO;0;0
01.235.622/0001-61;2025-03-31;1;Citta America;ACADEMIA;0;0
01.235.622/0001-61;2025-03-31;1;Carioca;FINANCEIRO;0;0
01.235.622/0001-61;2025-03-31;1;Carioca;COMERCIO;0;0
01.235.622/0001-61;2025-03-31;1;Cardeal Leme;TI;0;0
01.235.622/0001-61;2025-03-31;1;Citta Office;MIDIA;0;0
01.235.622/0001-61;2025-03-31;1;Conde de Bonfim,149;DISPONÍVEL;0;0
01.235.622/0001-61;2025-03-31;1;Dom Gerado 46;LOGÍSTICA;0;0
01.235.622/0001-61;2025-03-31;1;Dom Gerado 42;MIDIA;0;0
01.235.622/0001-61;2025-03-31;1;Golden Corporate;ENGENHARIA;0;0
01.235.622/0001-61;2025-03-31;1;Golden Corporate;MÍDIA;0;0
01.235.622/0001-61;2025-03-31;1;Golden Corporate;SEGUROS;0;0
01.235.622/0001-61;2025-03-31;1;Ícono Parque;COMÉRCIO;0;0
01.235.622/0001-61;2025-03-31;1;Ícono Parque;HOSPITALAR;0;0
01.235.622/0001-61;2025-03-31;1;Ícono Parque;IMOBILIÁRIO;0;0
01.235.622/0001-61;2025-03-31;1;Ícono Parque;ESTÉTICA;0;0
01.235.622/0001-61;2025-03-31;1;Largo de Santa Rita;DISPONÍVEL;0;0
01.235.622/0001-61;2025-03-31;1;Marechal Camara;TI;0;0
01.235.622/0001-61;2025-03-31;1;Presidente Antonio Carlos;FINANCEIRO;0;0
01.235.622/0001-61;2025-03-31;1;Primeiro de Março;DISPONÍVEL;0;0
01.235.622/0001-61;2025-03-31;1;Rio Branco 45;DISPONÍVEL;0;0
01.235.622/0001-61;2025-03-31;1;Senhor dos Passos 107;COMERCIO;0;0
01.235.622/0001-61;2025-03-31;1;Sete de Setembro;COMERCIO;0;0
01.235.622/0001-61;2025-03-31;1;Teofilo Otoni 24;DISPONÍVEL;0;0
01.235.622/0001-61;2025-03-31;1;Travessa do Ouvidor;DISPONÍVEL;0;0
01.235.622/0001-61;2025-03-31;1;Uruguaiana, 76;DISPONÍVEL;0;0
01.235.622/0001-61;2025-03-31;1;Uruguaiana, 78;DISPONÍVEL;0;0
01.235.622/0001-61;2025-03-31;1;São Pedro da Aldeia;ÁGUA E ESGOTO;0;0
01.235.622/0001-61;2025-03-31;1;Innovitá;DISPONÍVEL;0;0
01.235.622/0001-61;2025-03-31;1;Colégio Eleva;ENSINO;0;0
01.235.622/0001-61;2025-03-31;1;Instituto Dominus;ENSINO;0;0
01.235.622/0001-61;2025-03-31;1;Hotel Aretê;ENSINO;0;0
