CNPJ_Fundo_Classe;Data_Referencia;Versao;Mes_Referencia;Percentual_Rentabilidade_Efetiva_Mes;Percentual_Rentabilidade_Auferida_Ausencia_Garantia
11.268.335/0001-01;2025-03-31;1;Março - 2025;0.009422;0.009422
11.268.335/0001-01;2025-03-31;1;Fevereiro - 2025;-0.053363;-0.053363
11.268.335/0001-01;2025-03-31;1;Janeiro - 2025;0.004009;0.004009
11.268.335/0001-01;2025-06-30;1;Junho - 2025;0.005933;0.005933
11.268.335/0001-01;2025-06-30;1;Maio - 2025;0.006652;0.006652
11.268.335/0001-01;2025-06-30;1;Abril - 2025;0.014121;0.014121
11.839.593/0001-09;2025-06-30;1;06/2025;2.5E-05;2.413834328E-05
11.839.593/0001-09;2025-06-30;1;05/2025;0.007466;0.00746634412141
12.005.956/0001-65;2025-03-31;1;mar/25;0.00587238765132607;0.00575143280790841
12.005.956/0001-65;2025-03-31;1;fev/25;0.00648507876863619;0.00625409234381112
12.005.956/0001-65;2025-03-31;1;jan/25;0.00623515689453833;0.00578449119623394
12.005.956/0001-65;2025-06-30;1;jun/25;0.00617982608500822;0.00617982608500822
12.005.956/0001-65;2025-06-30;1;mai/25;0.00643308884226267;0.00643308884226267
12.005.956/0001-65;2025-06-30;1;abr/25;0.00624379687141044;0.00624379687141044
12.681.340/0001-04;2025-03-31;1;Março - 2025;-0.002277;-0.002277
12.681.340/0001-04;2025-03-31;1;Fevereiro - 2025;0.009994;0.009994
12.681.340/0001-04;2025-03-31;1;Janeiro - 2025;0.010116;0.010116
12.681.340/0001-04;2025-06-30;1;Junho - 2025;-0.004728;-0.004728
12.681.340/0001-04;2025-06-30;1;Maio - 2025;0.01237;0.01237
12.681.340/0001-04;2025-06-30;1;Abril - 2025;0.01058;0.01058
14.410.722/0001-29;2025-03-31;1;Março - 2025;0.010457;0.010457
14.410.722/0001-29;2025-03-31;1;Fevereiro - 2025;0.000221;0.000221
14.410.722/0001-29;2025-03-31;1;Janeiro - 2025;-0.000387;-0.000387
14.410.722/0001-29;2025-06-30;1;Junho - 2025;0.035181;0.035181
14.410.722/0001-29;2025-06-30;1;Maio - 2025;0.009335;0.009335
14.410.722/0001-29;2025-06-30;1;Abril - 2025;0.012725;0.012725
16.685.929/0001-31;2025-03-31;2;01/2025;0;0
16.685.929/0001-31;2025-03-31;2;02/2025;-0.000184;-0.000184
16.685.929/0001-31;2025-03-31;2;03/2025;-0.000745;-0.000745
16.685.929/0001-31;2025-06-30;2;06/2025;-0.001598;-0.001598
16.685.929/0001-31;2025-06-30;2;05/2025;-0.00169;-0.00169
16.685.929/0001-31;2025-06-30;2;04/2025;-0.001373;-0.001373
17.311.079/0001-74;2025-03-31;1;março/2025;-0.000571;-0.000571
17.311.079/0001-74;2025-03-31;1;Feveiro/2025;-0.000933;-0.000933
17.311.079/0001-74;2025-03-31;1;Janeiro/2025;-0.000363;-0.000363
17.311.079/0001-74;2025-06-30;1;JAN/25;-0.000363;-0.000363
17.311.079/0001-74;2025-06-30;1;FEV/25;-0.000933;-0.000933
17.311.079/0001-74;2025-06-30;1;MAR/25;-0.000571;-0.000571
17.311.079/0001-74;2025-06-30;1;JUN/25;-0.001148;-0.001148
17.311.079/0001-74;2025-06-30;1;MAI/25;-0.005926;-0.005926
17.311.079/0001-74;2025-06-30;1;ABR/25;-0.004711;-0.004711
17.870.926/0001-30;2025-03-31;1;Março - 2025;0.015285;0.015285
17.870.926/0001-30;2025-03-31;1;Fevereiro - 2025;0.014905;0.014905
17.870.926/0001-30;2025-03-31;1;Janeiro - 2025;0.00495;0.00495
17.870.926/0001-30;2025-06-30;1;Junho - 2025;0.012325;0.012325
17.870.926/0001-30;2025-06-30;1;Maio - 2025;0.013441;0.013441
17.870.926/0001-30;2025-06-30;1;Abril - 2025;-0.031756;-0.031756
18.289.950/0001-43;2025-03-31;1;Março - 2025;0.007122;0.007122
18.289.950/0001-43;2025-03-31;1;Fevereiro - 2025;0.007001;0.007001
18.289.950/0001-43;2025-03-31;1;Janeiro - 2025;0.007253;0.007253
18.289.950/0001-43;2025-06-30;1;Junho - 2025;0.00824;0.00824
18.289.950/0001-43;2025-06-30;1;Maio - 2025;0.007361;0.007361
18.289.950/0001-43;2025-06-30;1;Abril - 2025;0.007552;0.007552
18.950.957/0001-64;2025-03-31;1;Março - 2025;-0.098984;-0.098984
18.950.957/0001-64;2025-03-31;1;Fevereiro - 2025;0.004812;0.004812
18.950.957/0001-64;2025-03-31;1;Janeiro - 2025;0.001922;0.001922
20.216.935/0001-17;2025-03-31;1;Março - 2025;0.056717;0.056717
20.216.935/0001-17;2025-03-31;1;Fevereiro - 2025;0.041085;0.041085
20.216.935/0001-17;2025-03-31;1;Janeiro - 2025;-0.040172;-0.040172
20.216.935/0001-17;2025-06-30;1;Abril - 2025;0.025777;0.025777
