CNPJ_Fundo_Classe;Data_Referencia;Versao;Endereco;Data_Alienacao;Area;Outras_Caracteristicas_Relevantes;Percentual_Terreno_Total_Investido;Percentual_Terreno_PL
11.233.841/0001-65;2026-03-31;1;MAT. 139.123 19,38% - Ilha nº 10 do Bairro Arquipélago Verde - Betim/MG;2026-03-20;44600;Cotas do Metropolitano Betim FII - Resp. Ltda., mediante conferência de imóveis localizados em Betim/MG (Arquipélago Verde), correspondentes a 30,62% dos ativos do Fundo.;0.00333;0.00345
11.233.841/0001-65;2026-03-31;1;MAT. 139.124 19,38% - Ilha nº 12A do Bairro Arquipélago Verde - Betim/MG;2026-03-20;39721.4;Cotas do Metropolitano Betim FII - Resp. Ltda., mediante conferência de imóveis localizados em Betim/MG (Arquipélago Verde), correspondentes a 30,62% dos ativos do Fundo.;0.00296;0.00307
11.233.841/0001-65;2026-03-31;1;MAT. 139.125 19,38% - Ilha nº 18 do Bairro Arquipélago Verde - Betim/MG;2026-03-20;53100;Cotas do Metropolitano Betim FII - Resp. Ltda., mediante conferência de imóveis localizados em Betim/MG (Arquipélago Verde), correspondentes a 30,62% dos ativos do Fundo.;0.00396;0.0041
11.233.841/0001-65;2026-03-31;1;MAT. 139.126 19,38% - Área C no Bairro Arquipélago Verde - Betim/MG;2026-03-20;14000;Cotas do Metropolitano Betim FII - Resp. Ltda., mediante conferência de imóveis localizados em Betim/MG (Arquipélago Verde), correspondentes a 30,62% dos ativos do Fundo.;0.00104;0.00108
11.233.841/0001-65;2026-03-31;1;MAT. 139.127 19,38% - Área D no Bairro Arquipélago Verde - Betim/MG;2026-03-20;1000;Cotas do Metropolitano Betim FII - Resp. Ltda., mediante conferência de imóveis localizados em Betim/MG (Arquipélago Verde), correspondentes a 30,62% dos ativos do Fundo.;7E-05;8E-05
11.233.841/0001-65;2026-03-31;1;MAT. 134.018 19,38% - Ilha nº 17 do Bairro Arquipélago Verde - Betim/MG;2026-03-20;61906.9;Cotas do Metropolitano Betim FII - Resp. Ltda., mediante conferência de imóveis localizados em Betim/MG (Arquipélago Verde), correspondentes a 30,62% dos ativos do Fundo.;0.00482;0.005
11.233.841/0001-65;2026-06-30;1;MAT. 139.123 19,38% - Ilha nº 10 do Bairro Arquipélago Verde - Betim/MG;2026-03-20;44600;Cotas do Metropolitano Betim FII - Resp. Ltda., mediante conferência de imóveis localizados em Betim/MG (Arquipélago Verde), correspondentes a 30,62% dos ativos do Fundo.;0.00333;0.00345
11.233.841/0001-65;2026-06-30;1;MAT. 139.124 19,38% - Ilha nº 12A do Bairro Arquipélago Verde - Betim/MG;2026-03-20;39721.4;Cotas do Metropolitano Betim FII - Resp. Ltda., mediante conferência de imóveis localizados em Betim/MG (Arquipélago Verde), correspondentes a 30,62% dos ativos do Fundo.;0.00296;0.00307
11.233.841/0001-65;2026-06-30;1;MAT. 139.125 19,38% - Ilha nº 18 do Bairro Arquipélago Verde - Betim/MG;2026-03-20;53100;Cotas do Metropolitano Betim FII - Resp. Ltda., mediante conferência de imóveis localizados em Betim/MG (Arquipélago Verde), correspondentes a 30,62% dos ativos do Fundo.;0.00396;0.0041
11.233.841/0001-65;2026-06-30;1;MAT. 139.126 19,38% - Área C no Bairro Arquipélago Verde - Betim/MG;2026-03-20;14000;Cotas do Metropolitano Betim FII - Resp. Ltda., mediante conferência de imóveis localizados em Betim/MG (Arquipélago Verde), correspondentes a 30,62% dos ativos do Fundo.;0.00104;0.00108
11.233.841/0001-65;2026-06-30;1;MAT. 139.127 19,38% - Área D no Bairro Arquipélago Verde - Betim/MG;2026-03-20;1000;Cotas do Metropolitano Betim FII - Resp. Ltda., mediante conferência de imóveis localizados em Betim/MG (Arquipélago Verde), correspondentes a 30,62% dos ativos do Fundo.;7E-05;8E-05
11.233.841/0001-65;2026-06-30;1;MAT. 134.018 19,38% - Ilha nº 17 do Bairro Arquipélago Verde - Betim/MG;2026-03-20;61906.9;Cotas do Metropolitano Betim FII - Resp. Ltda., mediante conferência de imóveis localizados em Betim/MG (Arquipélago Verde), correspondentes a 30,62% dos ativos do Fundo.;0.00482;0.005
13.598.226/0001-88;2026-03-31;1;LOTE0P1, AV. BRASIL, LADO IMPAR - PRESIDENTE PRUDENTE - SP;2026-01-16;3683;MATRÍCULA 99.795;0.79;3.08
53.087.126/0001-01;2026-03-31;1;Estr. Palmeira - Três Barras, Garuva - SC, 89248-000;2025-11-26;300;Quadra 4 lote 7;0.0338520051294336;0.00525149558412634
53.087.126/0001-01;2026-03-31;1;Estr. Palmeira - Três Barras, Garuva - SC, 89248-000;2025-12-02;300;Quadra 11 lote 23;0.0329486019374502;0.00516739322102955
53.087.126/0001-01;2026-03-31;1;Estr. Palmeira - Três Barras, Garuva - SC, 89248-000;2025-12-09;300;Quadra 10 lote 11;0.0351192753617654;0.00537228937796279
53.087.126/0001-01;2026-03-31;1;Estr. Palmeira - Três Barras, Garuva - SC, 89248-000;2025-12-09;300;Quadra 11 lote 19;0.0351188172535454;0.00537221929992448
53.087.126/0001-01;2026-03-31;1;Estr. Palmeira - Três Barras, Garuva - SC, 89248-000;2025-12-17;300;Quadra 8 lote 6;0.0332511320573929;0.00502834213297836
53.087.126/0001-01;2026-03-31;1;Estr. Palmeira - Três Barras, Garuva - SC, 89248-000;2025-12-31;24238.4;Totalidade dos lotes;0.597687207371381;0.0836181169304141
53.087.126/0001-01;2026-03-31;1;Avenida do Cetur,3020, c - Tarumã - Manaus - AM;2025-12-31;6112;Totalidade dos lotes;0.402312792628619;0.0562846882478418
53.127.942/0001-00;2026-06-30;1;Alameda Gabriel Monteiro da Silva nº 1193;2026-04-30;1032;Um prédio que recebeu o n° 1193, na Rua Alameda Gabriel Monteiro da Silva e seu respectivo terreno,  no 20° Subdistrito, Jardim América, no 13º Oficial Registro de Imóveis Comarca e Circunscrição Imobiliária da cidade de São Paulo, Capital, com a área de terreno de 1.032,00m², perfeitamente descrito e caracterizado na matrícula nº 90.334, do 13º Oficial Registro de Imóveis da Comarca de São Paulo/SP.;1;1.09965590110203
