CNPJ_Fundo_Classe;Data_Referencia;Versao;Nome_Imovel;Endereco;Area;Numero_Unidades;Outras_Caracteristicas_Relevantes;Percentual_Imovel_Total_Investido;Categoria
01.356.517/0001-80;2026-03-31;1;LOJA;PRAÇA DAS NAÇÕES, 322/330 - BONSUCESSO-RJ;1259;2;LOJA POSSUI ESTACIONAMENTO NO SUBSOLO;0.017;Renda
31.547.782/0001-07;2026-03-31;1;FAZENDA ARAGÃO CAMPINHOS;Situado na BR 365 KM 402 A Esquerda, Patos de Minas/MG;213.63;1;nº 9.129 (dividida) e nº 9.130 (dividida) do 2º Ofício de Registro de Imóveis de Patos de Minas e pelas matrículas nº R-2/8.294 (dividida), nº R-1/8.357 (dividida) e nº R-4/17.139 do 1º Ofício de Registro de Imóveis de Patos de Minas.;0;Renda
36.312.025/0001-78;2026-03-31;1;REI ALBERTO;Rua Rei Alberto nº 55, apartamento 1201  bairro Centro, Juiz de Fora - MG;396.43;1;NA;0.0188;Renda
52.356.865/0001-99;2026-03-31;1;IMÓVEL CASCAVEL/PR MATRICULA 34770;NA;0;1;MATRÍCULA 34770;;
54.419.040/0001-00;2026-03-31;1;NAPOLEAO;NA;0;1;NA;0.1325;Renda
62.385.601/0001-17;2026-03-31;1;CCV_PORTO_BELO;Bairro Perequê, no município de Porto Belo;1928.66;1;Matricula 11.462;0.0437;Venda
62.385.601/0001-17;2026-03-31;1;CCV_LOJA 02 EDIFÍCIO VECHI;Brusque SC - no lado direito da Avenida Consul Carlos Renaux, esquina com a Rua Heinrich Richard Bruno Erbe;319.23;1;matrícula 22.916;0.0317;Venda
63.249.022/0001-00;2026-03-31;1;Fazenda Leblon;Município de Bujari, Estado do Acre;41895297.8516;1;Matrícula 278;;
63.249.022/0001-00;2026-03-31;1;Fazenda Bela Aliança;Município de Porto Acre, no Estado do Acre;201784394.531;1;Matrícula 543;;
63.249.022/0001-00;2026-03-31;1;Fazenda Copacabana;Município de Bujari, Estado do Acre;54347187.5;1;Matrícula 1.262;;
63.249.022/0001-00;2026-03-31;1;Fazenda Ipanema;Município de Bujari, Estado do Acre;47697744.1406;1;Matrícula 1.147;;
63.779.981/0001-37;2026-03-31;1;Fazenda Nossa Senhora Aparecida;Estrada Municipal AMP 141 - Amparo SP;9981.52;1;1;1;Renda
