CNPJ_Fundo_Classe;Data_Referencia;Versao;Nome_Ativo;Percentual_Garantido_Relativo;Garantidor;Principais_Caracteristicas_Garantia
12.005.956/0001-65;2026-03-31;1;Edifício Rochaverá - Torre Crystal;;LESATH EMPREENDIMENTOS E PARTICIPAÇÕES LTDA.;Limitada a R$ 70.338.000,00 para compor a rentabilidade alvo do Fundo.
12.005.956/0001-65;2026-06-30;1;Edifício Rochaverá - Torre Crystal;;LESATH EMPREENDIMENTOS E PARTICIPAÇÕES LTDA.;Limitada a R$ 70.338.000,00 para compor a rentabilidade alvo do Fundo.
42.869.869/0001-17;2026-06-30;1;Edifício Sompo Seguros;1;Sompo Seguros;A Vendedora garantiu ao Fundo uma renda mínima garantida mensal equivalente a R$1.027.816,80 (um milhão, vinte e sete mil, oitocentos e dezesseis reais e oitenta centavos) ("RMG"), pelo prazo de 36 (trinta e seis) meses contados da lavratura da Escritura Definitiva ("Período de RMG")
52.219.978/0001-42;2026-03-31;2;Alameda Santos;0.15;São Carlos Empreendimentos e Participações S.A.;Limitada a R$ 93.000.000,00 para os  quatro imóveis  adquiridos para compor a rentabilidade alvo do Fundo.
52.219.978/0001-42;2026-03-31;2;Corporate Plaza;0.15;São Carlos Empreendimentos e Participações S.A.;Limitada a R$ 93.000.000,00 para os  quatro imóveis  adquiridos para compor a rentabilidade alvo do Fundo.
52.219.978/0001-42;2026-03-31;2;Centro Empresarial Botafogo;0.15;São Carlos Empreendimentos e Participações S.A.;Limitada a R$ 93.000.000,00 para os  quatro imóveis  adquiridos para compor a rentabilidade alvo do Fundo.
52.219.978/0001-42;2026-03-31;2;Morumbi Office Tower;0.15;São Carlos Empreendimentos e Participações S.A.;Limitada a R$ 93.000.000,00 para os  quatro imóveis  adquiridos para compor a rentabilidade alvo do Fundo.
52.219.978/0001-42;2026-06-30;1;Alameda Santos;0.15;São Carlos Empreendimentos e Participações S.A.;Limitada a R$ 93.000.000,00 para os  quatro imóveis  adquiridos para compor a rentabilidade alvo do Fundo.
52.219.978/0001-42;2026-06-30;1;Corporate Plaza;0.15;São Carlos Empreendimentos e Participações S.A.;Limitada a R$ 93.000.000,00 para os  quatro imóveis  adquiridos para compor a rentabilidade alvo do Fundo.
52.219.978/0001-42;2026-06-30;1;Centro Empresarial Botafogo;0.15;São Carlos Empreendimentos e Participações S.A.;Limitada a R$ 93.000.000,00 para os  quatro imóveis  adquiridos para compor a rentabilidade alvo do Fundo.
52.219.978/0001-42;2026-06-30;1;Morumbi Office Tower;0.15;São Carlos Empreendimentos e Participações S.A.;Limitada a R$ 93.000.000,00 para os  quatro imóveis  adquiridos para compor a rentabilidade alvo do Fundo.
