CNPJ_Fundo_Classe;Data_Referencia;Versao;Percentual_Vencimento_Valor_Total_Faixa_Ate_3Meses;Percentual_Vencimento_Receita_FII_Faixa_Ate_3Meses;Percentual_Vencimento_Valor_Total_Faixa_3a6Meses;Percentual_Vencimento_Receita_FII_Faixa_3a6Meses;Percentual_Vencimento_Valor_Total_Faixa_6a9Meses;Percentual_Vencimento_Receita_FII_Faixa_6a9Meses;Percentual_Vencimento_Valor_Total_Faixa_9a12Meses;Percentual_Vencimento_Receita_FII_Faixa_9a12Meses;Percentual_Vencimento_Valor_Total_Faixa_12a15Meses;Percentual_Vencimento_Receita_FII_Faixa_12a15Meses;Percentual_Vencimento_Valor_Total_Faixa_15a18Meses;Percentual_Vencimento_Receita_FII_Faixa_15a18Meses;Percentual_Vencimento_Valor_Total_Faixa_18a21Meses;Percentual_Vencimento_Receita_FII_Faixa_18a21Meses;Percentual_Vencimento_Valor_Total_Faixa_21a24Meses;Percentual_Vencimento_Receita_FII_Faixa_21a24Meses;Percentual_Vencimento_Valor_Total_Faixa_24a27Meses;Percentual_Vencimento_Receita_FII_Faixa_24a27Meses;Percentual_Vencimento_Valor_Total_Faixa_27a30Meses;Percentual_Vencimento_Receita_FII_Faixa_27a30Meses;Percentual_Vencimento_Valor_Total_Faixa_30a33Meses;Percentual_Vencimento_Receita_FII_Faixa_30a33Meses;Percentual_Vencimento_Valor_Total_Faixa_33a36Meses;Percentual_Vencimento_Receita_FII_Faixa_33a36Meses;Percentual_Vencimento_Valor_Total_Faixa_Acima_36Meses;Percentual_Vencimento_Receita_FII_Faixa_Acima_36Meses;Percentual_Vencimento_Valor_Total_Faixa_Indeterminado;Percentual_Vencimento_Receita_FII_Faixa_Indeterminado;Percentual_Indexador_Valor_Total_IGPM;Percentual_Indexador_Receita_FII_IGPM;Percentual_Indexador_Valor_Total_INPC;Percentual_Indexador_Receita_FII_INPC;Percentual_Indexador_Valor_Total_IPCA;Percentual_Indexador_Receita_FII_IPCA;Percentual_Indexador_Valor_Total_INCC;Percentual_Indexador_Receita_FII_INCC;Caracteristicas_Contratuais;Politica_Contratacao_Seguro_Imovel_Renda_Acabado;Politica_Contratacao_Seguro_Imovel_Renda_Construcao;Politica_Contratacao_Seguro_Imovel_Venda_Acabado;Politica_Contratacao_Seguro_Imovel_Venda_Construcao;Ativo_Liquidez_Valor_Disponibilidades;Ativo_Liquidez_Valor_Titulos_Publicos;Ativo_Liquidez_Valor_Titulos_Privados;Ativo_Liquidez_Valor_Fundos_Renda_Fixa
00.332.266/0001-31;2026-03-31;1;0.005464;0.005316;0.029885;0.029073;0;0;0.005462;0.005314;0.103771;0.10095;0.052822;0.051386;0.040584;0.03948;0.008151;0.007929;0.014777;0.014375;0.068216;0.066362;0.018572;0.018067;0;0;0.60583;0.589358;0.046466;0.045202;0;0;0.184051;0.179047;0.134952;0.131283;0;0;Contratos típicos que seguem a Lei do Inquilinato, com reajuste anual por índice, aviso prévio e multa por rescisão antecipada.;Gerenciamento das vigências das apólices. Para cotação dos valores em risco do imóvel, é considerado o laudo de avaliação feito por empresa independente. Análise de risco para fins de cobertura.;;;;2000;;;5255171.57
00.332.266/0001-31;2026-06-30;1;0.002075;0.002009;;;0.022151;0.02144;0.036275;0.035111;0.045668;0.044202;;;0.005282;0.005112;0.022064;0.021356;0.043359;0.041967;0.016138;0.01562;;;;;0.786711;0.761454;0.020277;0.019626;0;0;0;0;0.220667;0.213583;0;0;Contratos típicos que seguem a Lei do Inquilinato, com reajuste anual por índice, aviso prévio e multa por rescisão antecipada.;Gerenciamento das vigências das apólices. Para cotação dos valores em risco do imóvel, é considerado o laudo de avaliação feito por empresa independente. Análise de risco para fins de cobertura.;;;;2000;;;5128715.94
00.613.094/0001-74;2026-03-31;1;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;1;1;;;;;;;Prazo de locação entre 60 e 120 meses, reajustado anualmente pela variação positiva do IGPM ou IPCA. O contrato de locação deve ser cumprido integralmente, sob penas de pagamento de indenização e multa por desistência da locação ou por rescisão, ou resiliçao antecipada. Para grande parte dos locatários, a garantia é obtida através de fiador, carta fiança, depósito caução ou depósito antecipado.;A locadora contratará seguro para o imóvel, considerando seu valor real e este custo será reembolsado pela locatária. Tal seguro inclui as dependências e instalações comuns, elevadores, ar condicionado, ou outros equipamentos, contemplando Riscos Operacionais e Responsabilidade Civil.;;;;569584.13;;;
00.613.094/0001-74;2026-06-30;1;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;1;1;;;;;;;Prazo de locação entre 60 e 120 meses, reajustado anualmente pela variação positiva do IGPM ou IPCA. O contrato de locação deve ser cumprido integralmente, sob penas de pagamento de indenização e multa por desistência da locação ou por rescisão, ou resiliçao antecipada. Para grande parte dos locatários, a garantia é obtida através de fiador, carta fiança, depósito caução ou depósito antecipado.;A locadora contratará seguro para o imóvel, considerando seu valor real e este custo será reembolsado pela locatária. Tal seguro inclui as dependências e instalações comuns, elevadores, ar condicionado, ou outros equipamentos, contemplando Riscos Operacionais e Responsabilidade Civil.;;;;569584.13;;;
00.762.723/0001-28;2026-03-31;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;N/A.;É obrigatória a contratação do seguro de preservação dos imóveis, no entanto essa demanda fica a cargo do condomínio.;;;;5963.49;;;1701596.87
00.762.723/0001-28;2026-06-30;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;N/A.;É obrigatória a contratação do seguro de preservação dos imóveis, no entanto essa demanda fica a cargo do condomínio.;;;;5506.64;;;2211925.06
00.868.235/0001-08;2026-03-31;1;0.00801796572942873;0.00790071569151707;0.0493864302567206;0.048664232006525;0;0;0.0884063715951818;0.087113568561225;0.0298083692079969;0.0293724690635382;0.00948110524671372;0.00934245911287688;0.00770583959682257;0.00759315390878671;0.00686649312085387;0.00676608154441307;0.00520122203096861;0.00512516240426309;0.26298237434674;0.259136674027883;0.00493730397053887;0.00486510372707782;0.00805587257466466;0.00793806820923515;0.339505440495076;0.334540711645817;0.179645211828294;0.177018185396863;1;0.985376585300021;;;;;;;Contratos majoritriamente corrigidos pelo IGP-M e com prazo de 5 anos.;A contratação dos sguros fica a cargo do condominio e dos locatários.;;;;26862.09;;;1539526.91
00.868.235/0001-08;2026-06-30;1;0.0178733517809236;0.0176297346678593;0;0;0.0999691032435577;0.0986065057505789;0.0295638947808468;0.0291609333897365;0.00965419297247953;0.00952260452450691;0.00827529080579129;0.00816249705112321;0.00676323576974712;0.00667105160678799;0.00512300679067298;0.00505317925413424;0.267643435380215;0.2639954055167;0.00486305749265944;0.00479677311345915;0.00793472950377348;0.0078265776630696;0.0281636685546084;0.0277797925077052;0.307939390436732;0.303742119202076;0.206233642487993;0.203422639537037;1;0.986369813784775;;;;;;;Contratos majoritriamente corrigidos pelo IGP-M e com prazo de 5 anos.;A contratação dos sguros fica a cargo do condominio e dos locatários.;;;;24304.5;;;1593962.24
01.201.140/0001-90;2026-03-31;1;0.0257079188926098;0.0251784418990768;0.0663867771312219;0.0650194836014493;0.0415908196051828;0.0407342204298425;0.0252023880476843;0.0246833229024626;0.0346274281578613;0.0339142460978357;0.045531544735465;0.044593782891803;0.0627613174767145;0.0614686934480425;0.038742721818904;0.0379447816995327;0.0680203494187049;0.0666194110440459;0.0229144335428947;0.022442490814606;0.0054301564331814;0.00531831762916677;0.0413433378347344;0.0404918357621319;0.377767612793081;0.369987159590652;0.143973194111761;0.141007940709256;0.028217;0.0276361012211874;0.004963;0.00486049039355811;0.098536;0.0965068619716071;;;Contratos típicos de 5 anos, ajustados anualmente em sua maioria pelo indíce IGP-DI, IGP-M, IPCA e IPC-FIPE e INPC com garantia de Fiadores.;Contratação do seguro realizado pelo empreendimento através do condomínio.;;;;5553.99;0;0;9958000.36
01.201.140/0001-90;2026-06-30;1;0.0691585759595207;0.066792;0.0457362630551177;0.044171;0.0415084491023207;0.040088;0.0358832618502413;0.034655;0.0699066722146321;0.067514;0.0413005078350699;0.039887;0.0367564001255211;0.035498;0.0718954072615118;0.069435;0.0222468701765057;0.021486;0.00550350039935618;0.005315;0.0386508956031981;0.037328;0.0319884123053039;0.030894;0.344498573160653;0.332709;0.144966210951049;0.140005;0.032745;0.031625;0.004439;0.004287;0.094557;0.091321;;;Contratos típicos de 5 anos, ajustados anualmente em sua maioria pelo indíce IGP-DI, IGP-M, IPCA e IPC-FIPE e INPC com garantia de Fiadores.;Contratação do seguro realizado pelo empreendimento através do condomínio.;;;;5962.73;0;0;7285424.54
01.235.622/0001-61;2026-03-31;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;N/A;Cabe ao Locatário o pagamento do seguro contra incêndio bem como por danos, ocorrências e sinistros no Imóvel, contra qualquer risco de destruição parcial ou total que possibilite sua reconstrução, cujo beneficiário será o Locador. O Locador contratará diretamente este seguro e cobrará do Locatário o valor através de boleto bancário. Caso a qualquer momento sejam exigidas obras de melhoria e manutenção no imóvel para a continuidade ou renovação do seguro de incêndio, o Locatário se compromete a fazer estas às suas expensas se responsabilizando ainda por qualquer autorização ou licença dos órgãos competentes necessárias à realização de tais obras. O descumprimento de qualquer das obrigações aqui dispostas, será caracterizado como infração contratual.;Conforme contrato;Conforme contrato.;Conforme contrato.;258981.58;;;109791951.81
01.235.622/0001-61;2026-06-30;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;N/A;Cabe ao Locatário o pagamento do seguro contra incêndio bem como por danos, ocorrências e sinistros no Imóvel, contra qualquer risco de destruição parcial ou total que possibilite sua reconstrução, cujo beneficiário será o Locador. O Locador contratará diretamente este seguro e cobrará do Locatário o valor através de boleto bancário. Caso a qualquer momento sejam exigidas obras de melhoria e manutenção no imóvel para a continuidade ou renovação do seguro de incêndio, o Locatário se compromete a fazer estas às suas expensas se responsabilizando ainda por qualquer autorização ou licença dos órgãos competentes necessárias à realização de tais obras. O descumprimento de qualquer das obrigações aqui dispostas, será caracterizado como infração contratual.;Conforme contrato;Conforme contrato.;Conforme contrato.;258981.58;;;109791951.81
01.356.517/0001-80;2026-03-31;1;0.006759;0.004943;0.031108;0.022748;0.026165;0.019133;0.008954;0.006548;0.013446;0.009832;0.030504;0.022306;0.019955;0.014592;0.003868;0.002828;0.004026;0.002944;0.00062;0.000453;0.002232;0.001632;0.016474;0.012047;0.723483;0.529046;0.112406;0.082196;1;0.731248;0;0;0;0;0;0;;;;;;255458.51;;;241309475.4
01.356.517/0001-80;2026-06-30;1;0.011222;0.0081;0;0;0.021547;0.015552;0.020949;0.01512;0.012209;0.008812;0.013841;0.00999;0.028726;0.020733;0.019;0.013713;0.004008;0.002893;0.004145;0.002992;0.000638;0.00046;0.002297;0.001658;0.855944;0.617788;0.005474;0.00395100000000004;1;0.721762;0;0;0;0;0;0;;;;;;63863.74;;;262368652.36
01.497.954/0001-14;2026-03-31;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;1;;;;;;;Cláusula de reajuste - IGPM, garantia por fiador, seguro fiança ou depósito caução, clausula de rescisão determinando o valor da multa, clausula de exigencia para contratação de seguro patrimonial.;Seguro contratado pelos locatários.;;;;1;;;17314.4
01.497.954/0001-14;2026-06-30;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;1;;;;;;;Cláusula de reajuste - IGPM, garantia por fiador, seguro fiança ou depósito caução, clausula de rescisão determinando o valor da multa, clausula de exigencia para contratação de seguro patrimonial.;Seguro contratado pelos locatários.;;;;1;;;85167.97
01.601.918/0001-59;2026-03-31;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Contratos com período de 5 anos, demais clausulas são confidenciais.;Em caso de vacância, o seguro é contratado pelo próprio Fundo, com vigência anual.;;;;5791.28;;;15883797.07
01.601.918/0001-59;2026-06-30;1;;;;;;;;;;;;;;;;;;;;;;;;;1;0.016386;;;;;;;1;0.016386;;;Contratos com período de 5 anos, demais clausulas são confidenciais.;Em caso de vacância, o seguro é contratado pelo próprio Fundo, com vigência anual. Após locado, o seguro fica a cargo do inquilino.;;;;5972.59;;;25538611.53
01.633.741/0001-72;2026-03-31;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2000;;;3656512.2
01.633.741/0001-72;2026-06-30;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2000;;;3699457.48
01.636.325/0001-28;2026-03-31;1;0.03125;0.02499096875;0.03125;0.02499096875;0.02083333333333;0.01666064583333;0.03125;0.02499096875;0.02083333333333;0.01666064583333;0.03125;0.02499096875;0.0625;0.0499819375;0.03125;0.02499096875;0.05208333333333;0.04165161458333;0.03125;0.02499096875;0.02083333333333;0.01666064583333;0.01041666666667;0.00833032291667;0.19791666666667;0.15827613541667;0.42708333333333;0.34154323958333;0;0;0;0;0.0144;0.0115158384;0;0;Os contratos de locação possuem algumas características comuns as quais esta administradora considera relevantes para as locações dos fundos que administra: a) Cláusulas de Benfeitorias b) Cláusulas de revisão de aluguel - seguindo a legislação vigente c) Tipo de indexador - normalmente indicamos IGPM-FGV como indexador para reajuste de locação d) Garantia exigida - as garantias aceitas são garantia bancária(fiança ou seguro fiança) ou deposito caução Vale ressaltar que cada contrato é negociado, cláusula a cláusula com o locatário, logo podem haver contratos firmados que não seguem os itens descritos acima a rigor, mas a maioria dos contratos são firmados com considerando os pontos descritos acima.;Para a contratação de seguros, seguimos a política de, após identificar a necessidade de contratação, por meio de controles de prazos de vencimento, providenciar a especificação técnica dos seguros a serem contratados e, na sequência, a solicitação de no mínimo 3 (três) cotações. Com base nos detalhes técnicos, buscamos no mercado empresas que atendam a demanda para a realização das cotações. As propostas devem conter, no mínimo: (a) preço (b) descrição do serviço ou especificação do produto (c) condições de pagamento e (d) prazo de entrega. É aconselhável solicitar ao proponente que a minuta do contrato a ser celebrado seja encaminhada juntamente com a proposta.;;;;4604.96;3446625.79;0;0
