CNPJ_Fundo_Classe;Data_Referencia;Versao;Nome_Ativo;Principais_Caracteristicas;Valor
03.855.441/0001-63;2026-03-31;1;Santos;Arrend Mercantil Financeiro;272463564.66
03.855.441/0001-63;2026-03-31;1;Laboratório de Fluidos;Arrend Mercantil Financeiro;63479020.79
03.855.441/0001-63;2026-06-30;1;Santos;Arrend Mercantil Financeiro;270321232.16
03.855.441/0001-63;2026-06-30;1;Laboratório de Fluidos;Arrend Mercantil Financeiro;68922328.54
08.417.532/0001-30;2026-03-31;1;Basul;Arrendamento Mercantil Financeiro;180521560.96
08.417.532/0001-30;2026-03-31;1;Bapon;Arrendamento Mercantil Financeiro;55134011.02
08.417.532/0001-30;2026-06-30;1;Basul;Arrendamento Mercantil Financeiro;193188037.32
08.417.532/0001-30;2026-06-30;1;Bapon;Arrendamento Mercantil Financeiro;55134011.02
13.584.584/0001-31;2026-03-31;1;Cemitério Morumby;Jazigos;23206287
13.584.584/0001-31;2026-03-31;1;Cemitério Morumby;Jazigos;3199170
13.584.584/0001-31;2026-03-31;1;Cemitério Morumby;Jazigos;42155217
13.584.584/0001-31;2026-06-30;2;Cemitério Morumby;Jazigos;23206287
13.584.584/0001-31;2026-06-30;2;Cemitério Morumby;Jazigos;3199170
13.584.584/0001-31;2026-06-30;2;Cemitério Morumby;Jazigos;42155217
15.576.907/0001-70;2026-03-31;1;GPA - Tatuapé;Direitos de superficie GPA - Imóvel Tatuapé;12430554.7
15.576.907/0001-70;2026-03-31;1;GPA - Guarulhos;Direitos de superficie GPA - Imóvel Guarulhos;32372411.7
15.576.907/0001-70;2026-03-31;1;GPA - São José dos Campos;Direitos de superfície GPA - Imóvel SJC;35267901.81
15.576.907/0001-70;2026-06-30;1;GPA - Tatuapé;Direitos de superficie GPA - Imóvel Tatuapé;12112270.9460664
15.576.907/0001-70;2026-06-30;1;GPA - Guarulhos;Direitos de superficie GPA - Imóvel Guarulhos;31543517.652673
15.576.907/0001-70;2026-06-30;1;GPA - São José dos Campos;Direitos de superfície GPA - Imóvel SJC;34364868.8712606
16.543.270/0001-89;2026-03-31;1;3 Apartamentos MG;Edificio Bossa Nova -BURITI-VEREDAS;3000000
16.543.270/0001-89;2026-03-31;1;Terras Empreendimentos-TRIPOLI;Obras finalizadas o mercado regional ainda incipiente possui grande potencial ( Bonito MS);20000000
16.543.270/0001-89;2026-03-31;1;120 LOTES -JARDINS MONET;JARDINS MONET-MG - ABAETÉ;12000000
16.543.270/0001-89;2026-03-31;1;80 LOTES -JARDINS MONET;JARDINS MONET-MG - ABAETÉ;8000000
16.543.270/0001-89;2026-03-31;1;BELA VISTA III 70 UNIDADES;BELA VISTA III -MG-FUNILÃNDIA;7000000
