Tipo_Fundo_Classe;CNPJ_Fundo_Classe;Data_Referencia;Versao;Data_Entrega;Nome_Fundo_Classe;Data_Funcionamento;Publico_Alvo;Codigo_ISIN;Quantidade_Cotas_Emitidas;Fundo_Exclusivo;Fundo_Nao_Listado_Exclusivo;Cotistas_Vinculo_Familiar;Mandato;Segmento_Atuacao;Tipo_Gestao;Prazo_Duracao;Data_Prazo_Duracao;Encerramento_Exercicio_Social;Mercado_Negociacao_Bolsa;Mercado_Negociacao_MBO;Mercado_Negociacao_MB;Entidade_Administradora_BVMF;Entidade_Administradora_CETIP;Nome_Administrador;CNPJ_Administrador;Logradouro;Numero;Complemento;Bairro;Cidade;Estado;CEP;Telefone1;Telefone2;Telefone3;Site;Email;Data_Encerramento_Trimestre
Classe;00.868.235/0001-08;2026-03-31;1;2026-04-13;HERMES FII DE RESPONSABILIDADE LIMITADA;1995-10-03;INVESTIDORES EM GERAL;BRHERMCTF004;54316;Não;Não;Não;;Outros;Definida;Indeterminado;;31/12;Não;Sim;Não;Sim;Não;RIO BRAVO INVESTIMENTOS DTVM LTDA;00868235000108;Avenida Chedid Jafet;222;Bloco B conjunto 32;Vila Olímpia;São Paulo;SP;04551-065;(11) 3509-6600;;;www.riobravo.com.br;fundosimobiliarios@riobravo.com.br;2026-03-31
Classe;01.201.140/0001-90;2026-03-31;1;2026-04-17;GRAND PLAZA SHOPPING FII DE RESPONSABILIDADE LIMITADA;2025-05-17;INVESTIDORES EM GERAL;BRABCPCTF000;4709082;Não;Não;Não;;Shoppings;Definida;Indeterminado;;31/12;Sim;Não;Não;Sim;Não;RIO BRAVO INVESTIMENTOS DTVM LTDA;01201140000190;Avenida Chedid Jafet;222;Conjunto 32 Bloco B;Vila Olímpia;São Paulo;SP;04551-065;(11) 3509-6600;;;www.riobravo.com.br;fundosimobiliarios@riobravo.com.br;2026-03-31
Fundo;01.356.517/0001-80;2026-03-31;1;2026-04-14;LAGRA FUNDO DE INVESTIMENTO IMOBILIARIO;1996-08-12;INVESTIDORES EM GERAL;;56701;Sim;Sim;Sim;;Multicategoria;Definida;Indeterminado;;31/12;Não;Não;Sim;Não;Não;MOMENTO DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.;01356517000180;RUA DA AJUDA;35;SALA 1901 PARTE;CENTRO;RIO DE JANEIRO;RJ;20040-915;(21) 3266-6666;;;NÃO POSSUI SITE;lagra@saoclementesa.com.br;2026-03-31
Fundo;01.964.775/0001-40;2026-03-31;1;2026-04-06;FUNDO DE INVESTIMENTO IMOBILIÁRIO GEO GUARARAPES;2005-11-03;INVESTIDOR QUALIFICADO E PROFISSIONAL;BRGEOGCTF005;12583000;Sim;Não;Não;;Educacional;Definida;Indeterminado;;31/12;Sim;Não;Não;Sim;Não;BCV - BANCO DE CREDITO E VAREJO S/A;01964775000140;AVENIDA PRESIDENTE JUSCELINO KUBITSCHEK;1830;10° ANDAR;VILA NOVA CONCEIÇÃO;SÃO PAULO;SP;04543-000;11 2847-7491;;;N/C;barbara.foliveira@bancobmg.com;2026-03-31
Classe;03.855.441/0001-63;2026-03-31;1;2026-04-13;RB LOGÍSTICA FII DE RESPONSABILIDADE LIMITADA;2000-05-02;INVESTIDOR QUALIFICADO;;144210661;Não;Não;Não;;Logística;Definida;Indeterminado;;31/12;Não;Não;Sim;Não;Não;RIO BRAVO INVESTIMENTOS DTVM LTDA;03855441000163;Avenida Chedid Jafet;222;Conjunto 32 Bloco B;Vila Olímpia;São Paulo;SP;04551-065;(11)3509-6600;;;www.riobravo.com.br;fundosimobiliarios@riobravo.com.br;2026-03-31
Classe;08.417.532/0001-30;2026-03-31;1;2026-04-13;FCM FII DE RESPONSABILIDADE LIMITADA;2006-08-14;INVESTIDOR QUALIFICADO;;46971;Não;Não;Não;;Outros;Definida;Indeterminado;;31/12;Não;Não;Sim;Não;Não;RIO BRAVO INVESTIMENTOS DTVM LTDA;08417532000130;Avenida Chedid Jafet;222;Conjunto 32 Bloco B;Vila Olímpia;São Paulo;SP;04551-065;11 35096600;;;www.riobravo.com.br;fundosimibiliarios@riobravo.com.br;2026-03-31
Classe;10.456.799/0001-89;2026-03-31;1;2026-04-22;FUNDO DE INVESTIMENTO IMOBILIÁRIO PHORBIS;2008-10-24;INVESTIDORES EM GERAL;0;87543;Não;Não;Não;;Multicategoria;Ativa;Indeterminado;;31/12;Não;Não;Sim;Não;Não;VORTX DISTRIBUIDORA DE TÍTULOS E VALORES;10456799000189;RUA GILBERTO SABINO;215;CONJ 41 SALA 2;PINHEIROS;SÃO PAULO;SP;05425020;(11) 30307111;;;www.vortx.com.br;relacionamento@vortx.com.br;2026-03-31
Classe;40.346.049/0001-15;2026-03-31;1;2026-04-14;GREEN LOG FUNDO INVESTIMENTO IMOBILIÁRIO RESPONS LIMITADA;2021-05-10;INVESTIDOR QUALIFICADO;;3384680;Sim;Não;Não;;Logística;Ativa;Indeterminado;;31/12;Não;Não;Sim;Não;Não;GREEN ALTERNATIVE INVESTMENTS DTVM S.A.;40346049000115;Rua Ramos Batista;198;3º andar;Vila Olimpia;São Paulo;SP;04552020;11 5555-7820;;;www.green.com.ai;regulatorio@green.com.ai;2026-03-31
Classe;44.584.965/0001-44;2026-03-31;1;2026-04-24;FOCO FUNDO DE INVESTIMENTO IMOBILIARIO;2023-06-27;INVESTIDOR QUALIFICADO;;6510537.54823588;Não;Não;Não;;Outros;Ativa;Indeterminado;;31/12;Não;Não;Sim;Não;Não;AZUMI DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.;44584965000144;Rua Dr. Rubens Gomes Bueno;691;CONJUNTO 131;VÁRZEA DE BAIXO;SÃO PAULO;SP;04543000;+55 (11) 2626-9780;;;https://azumidtvm.com.br/;atendimento@azumidtvm.com.br;2026-03-30
Classe;44.585.121/0001-18;2026-03-31;1;2026-04-24;ASSET BANK - FUNDO DE INVESTIMENTO IMOBILIÁRIO;2022-10-31;INVESTIDOR PROFISSIONAL;;21272.29910326;Não;Não;Não;;Outros;Ativa;Indeterminado;;31/12;Não;Não;Sim;Não;Não;AZUMI DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.;44585121000118;Rua Dr. Rubens Gomes Bueno;691;CONJUNTO 131;Várzea de Baixo;SÃO PAULO;SP;04543000;+55 (11) 2626-9780;;;https://azumidtvm.com.br/;atendimento@azumidtvm.com.br;2026-03-31
Classe;47.669.336/0001-05;2026-03-31;1;2026-04-24;FG DEVELOPER INVESTIMENTOS FUNDO DE INVESTIMENTO IMOBILIÁRIO;2025-02-11;INVESTIDOR PROFISSIONAL;BR0PSCCTF001;28358.95293253;Não;Não;Não;;Outros;Ativa;Indeterminado;;31/12;Sim;Sim;Não;Sim;Não;AZUMI DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.;47669336000105;Rua Dr. Rubens Gomes Bueno;691;CONJUNTO 131;VÁRZEA DE BAIXO;SÃO PAULO;SP;04543000;+55 (11) 2626-9780;;;https://azumidtvm.com.br/;atendimento@azumidtvm.com.br;2026-03-31
Classe;48.964.604/0001-84;2026-03-31;1;2026-04-24;GRIFFIN FUNDO DE INVESTIMENTO IMOBILIÁRIO;2023-03-07;INVESTIDOR PROFISSIONAL;BR0GZKCTF008;616.82417713;Não;Não;Sim;;Multicategoria;Ativa;Indeterminado;;30/06;Não;Não;Sim;Não;Não;ID CORRETORA DE TITULOS E VALORES MOBILIARIOS S.A.;48964604000184;AV PRES JUSCELINO KUBITSCHEK;1726;19 ANDAR;VILA NOVA CONCEICAO;SÃO PAULO;SP;04543000;11 4637 6633;;;www.idsf.com.br;administracao@idsf.com.br;2026-03-31
Classe;51.303.221/0001-70;2026-03-31;1;2026-04-24;THOR FUNDO DE INVESTIMENTO IMOBILIÁRIO;2023-07-18;INVESTIDOR PROFISSIONAL;;668779124003991;Não;Não;Não;;Outros;Ativa;Indeterminado;;31/12;Não;Não;Sim;Não;Não;AZUMI DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.;51303221000170;Rua Dr. Rubens Gomes Bueno,;691;Conjunto 131;Várzea de Baixo;SÃO PAULO;SP;04543000;+55 (11) 2626-9780;;;https://azumidtvm.com.br/;atendimento@azumidtvm.com.br;2026-03-31
