CNPJ_Fundo_Classe;Data_Referencia;Versao;Classe;Nome_Imovel;Endereco;Area;Numero_Unidades;Outras_Caracteristicas_Relevantes;Percentual_Vacancia;Percentual_Inadimplencia;Percentual_Receitas_FII;Percentual_Locado;Percentual_Vendido;Percentual_Conclusao_Obras_Realizado;Percentual_Conclusao_Obras_Previsto;Custo_Construcao_Realizado;Custo_Construcao_Previsto;Percentual_Imovel_Total_Investido
00.332.266/0001-31;2026-03-31;1;Imóveis para renda acabados;Via Parque Shopping - 100%;Av. Ayrton Senna, 3000 - Barra da Tijuca, Rio de Janeiro - RJ;56484.83;188;-;0.103933;0.106526;0.97281199403743;;;;;;;
00.762.723/0001-28;2026-03-31;1;Imóveis para renda acabados;ITM;Av. Roberto Zuccolo nº 555  Vila Leopoldina;45808.5;1;Imóvel Comercial;1;0;0;;;;;;;
00.868.235/0001-08;2026-03-31;1;Imóveis para renda acabados;Hotel;Avenida Soledade, 569 - Porto Alegre/RS;3388;1;Hotel com operação da Accor com a marca Novotel;0;0;0;;;;;;;
00.868.235/0001-08;2026-03-31;1;Imóveis para renda acabados;Medcenter;Avenida Soledade, 569 - Porto Alegre/RS;10187.47;118;Duas torres de conjutos comerciais, mall e estacionamento;0.13;0;0.985376585300021;;;;;;;
01.201.140/0001-90;2026-03-31;1;Imóveis para renda acabados;Grand Plaza Shopping;Avenida Industrial, 600, Centro, Santo André - SP;69812;286;Shopping Center;0.0150403942015699;0.0190623045975918;0.979404128519903;;;;;;;
01.235.622/0001-61;2026-03-31;1;Imóveis para renda acabados;CARIOCA 25;Rua da Carioca, centro, Rio de Janeiro;259.72;1;Empreendimento - CARIOCA;1;0;0.003758;;;;;;;
01.235.622/0001-61;2026-03-31;1;Imóveis para venda em construção;PRUDENTE DE MORAIS, 589;Rua Prudente de Morais, 589 - Ipanema - RJ;0;0;Empreendimento - PRUDENTE DE MORAES 589;;;;;0;0;0;77535153.8681458;77535153.8681458;
01.235.622/0001-61;2026-03-31;1;Imóveis para renda acabados;CESBOM;Fazenda cachoeirinha, Bom Despacho, Minas Gerais;0;0;FACEB EDUCACAO LTDA;0;0;0.103884;;;;;;;
01.235.622/0001-61;2026-03-31;1;Imóveis para renda acabados;1º DE MARÇO 19/LJ, PAV 1/PAV 2;Avenida Rio Branco nº45, centro, Rio de Janeiro;477.12;1;n/a;1;0;0.013888;;;;;;;
01.235.622/0001-61;2026-03-31;1;Imóveis para venda acabados;ARETÊ - TORIBA SUL;Praia Rasa, Búzios - RJ;0;0;n/a;;;;;;;;;;0.044187
01.235.622/0001-61;2026-03-31;1;Imóveis para renda acabados;CARIOCA 53;Rua da Carioca, centro, Rio de Janeiro;250;1;Empreendimento - CARIOCA;0;0;0.006336;;;;;;;
01.235.622/0001-61;2026-03-31;1;Imóveis para venda em construção;POMPEU LOUREIRO, 110/112;Rua Siqueira Campos, 37 - Copacabana, Rio de Janeiro - RJ, 22031-071;0;0;Empreendimento - BE IN RIO PRAIA COBACABANA;;;;;0;0;0;147383037.074161;147383037.074161;
01.235.622/0001-61;2026-03-31;1;Imóveis para venda em construção;SIQUEIRA CAMPOS, 37;Rua Siqueira Campos, 37 - Copacabana, Rio de Janeiro - RJ, 22031-071;0;0;Empreendimento - BE IN RIO PRAIA COBACABANA;;;;;0;0;0;147383037.074161;147383037.074161;
01.235.622/0001-61;2026-03-31;1;Imóveis para renda acabados;DOM GERARDO ,46;Rua Dom Gerardo nº 46, centro, Rio de Janeiro;5123.8;13;n/a;0.0769230769230769;0;0.019163;;;;;;;
01.235.622/0001-61;2026-03-31;1;Imóveis para renda acabados;TEÓFILO OTONI, 82;R. Teófilo Otoni, 82 - Centro, Rio de Janeiro - RJ, 20090-070;6194.4;26;Empreendimento - CARDEAL LEME;0.4286;0;0.042415;;;;;;;
01.235.622/0001-61;2026-03-31;1;Imóveis para renda acabados;CARIOCA 21;Rua da Carioca, centro, Rio de Janeiro;284.28;1;Empreendimento - CARIOCA;1;0;0.003758;;;;;;;
01.235.622/0001-61;2026-03-31;1;Imóveis para renda acabados;PRESIDENTE ANTÔNIO CARLOS, 51;Avenida Presidente Antonio Carlos, 51, centro , Rio de Janeiro;560;1;n/a;1;0;0.009946;;;;;;;
01.235.622/0001-61;2026-03-31;1;Imóveis para renda acabados;CARIOCA 13;Rua da Carioca, centro, Rio de Janeiro;205.24;1;Empreendimento - CARIOCA;0;0;0.003094;;;;;;;
01.235.622/0001-61;2026-03-31;1;Imóveis para renda acabados;HOTEL SÃO FRANCISCO;Fazenda cachoeirinha, Bom Despacho, Minas Gerais;0;0;FACEB EDUCACAO LTDA;0;0;0.008288;;;;;;;
