CNPJ_Fundo_Classe;Data_Referencia;Versao;Nome_Endereco_Imovel;Caracteristicas_Contratuais
00.868.235/0001-08;2026-03-31;1;Hotel;Contrato de arrendamento com a Accor
00.868.235/0001-08;2026-03-31;1;ABS;Contratos majoritariamente corrigidos pelo IGP-M e com prazo de 5 anos
01.201.140/0001-90;2026-03-31;1;Grand Plaza Shopping;Contratos típicos, sendo boa parte com o prazo de 5 anos, ajustados anualmente pelos índices IGP-DI, IGP-M, IPC-FIPE e IPCA, com garantia de fiadores.
04.644.612/0001-78;2026-03-31;1;NA;NA
05.562.312/0001-02;2026-03-31;1;Ed Almirante Barroso;Não possui caracteristicas que destoem dos demais
08.417.532/0001-30;2026-03-31;1;Posto de Combustível;Contratos de locação tipico com prazo indeterminado, multa rescisória, necessidade de aviso prévio para rescisão contratual pelo o locatário, correção anual do valor da locação pelo IPCA
08.417.532/0001-30;2026-03-31;1;Posto de Combustível;Contratos de locação tipico com prazo indeterminado, multa rescisória, necessidade de aviso prévio para rescisão contratual pelo o locatário, correção anual do valor da locação pelo IPCA
08.417.532/0001-30;2026-03-31;1;Posto de Combustível;Contratos de locação tipico com prazo indeterminado, multa rescisória, necessidade de aviso prévio para rescisão contratual pelo o locatário, correção anual do valor da locação pelo IPCA
08.417.532/0001-30;2026-03-31;1;Posto de Combustível;Contratos de locação tipico com prazo indeterminado, multa rescisória, necessidade de aviso prévio para rescisão contratual pelo o locatário, correção anual do valor da locação pelo IPCA
08.417.532/0001-30;2026-03-31;1;Posto de Combustível;Contratos de locação tipico com prazo indeterminado, multa rescisória, necessidade de aviso prévio para rescisão contratual pelo o locatário, correção anual do valor da locação pelo IPCA
08.417.532/0001-30;2026-03-31;1;Posto de Combustível;Contratos de locação tipico com prazo indeterminado, multa rescisória, necessidade de aviso prévio para rescisão contratual pelo o locatário, correção anual do valor da locação pelo IPCA
08.417.532/0001-30;2026-03-31;1;Base de distribuição;Contratos de locação tipico com prazo indeterminado, multa rescisória, necessidade de aviso prévio para rescisão contratual pelo o locatário, correção anual do valor da locação pelo IPCA
08.417.532/0001-30;2026-03-31;1;Base de distribuição;Contratos de locação tipico com prazo indeterminado, multa rescisória, necessidade de aviso prévio para rescisão contratual pelo o locatário, correção anual do valor da locação pelo IPCA
08.417.532/0001-30;2026-03-31;1;Base de distribuição;Contratos de locação tipico com prazo indeterminado, multa rescisória, necessidade de aviso prévio para rescisão contratual pelo o locatário, correção anual do valor da locação pelo IPCA
08.417.532/0001-30;2026-03-31;1;Posto de Combustível;Contratos de locação tipico com prazo indeterminado, multa rescisória, necessidade de aviso prévio para rescisão contratual pelo o locatário, correção anual do valor da locação pelo IPCA
10.456.799/0001-89;2026-03-31;1;Nenhuma;Nenhuma
10.991.914/0001-15;2026-03-31;1;Edifício Nova CEDAE;O contrato é reajustado anualmente pela variação do IPCA. O contrato está garantido por Seguro Fiança e conta com cláusula de multa em caso de rescisão antecipada do aluguel.
11.827.568/0001-05;2026-03-31;1;NA;NA
13.125.823/0001-95;2026-03-31;1;Gleba G.;Contrato de locação comercial.
13.555.918/0001-49;2026-03-31;1;NA;NA
14.631.148/0001-39;2026-03-31;1;NA;NA
14.721.889/0001-00;2026-03-31;1;n/a;n/a
