CNPJ_Fundo_Classe;Data_Referencia;Versao;Receita_Venda_Estoque_Contabil;Receita_Venda_Estoque_Financeiro;Custo_Estoque_Contabil;Custo_Estoque_Financeiro;Ajuste_Realizacao_Estoque_Contabil;Ajuste_Realizacao_Estoque_Financeiro;Outras_Receitas_Despesas_Estoque_Contabil;Outras_Receitas_Despesas_Estoque_Financeiro;Resultado_Liquido_Estoque_Contabil;Resultado_Liquido_Estoque_Financeiro;Receita_Aluguel_Investimento_Contabil;Receita_Aluguel_Investimento_Financeiro;Despesa_Manutencao_Investimento_Contabil;Despesa_Manutencao_Investimento_Financeiro;Receita_Venda_Investimento_Contabil;Receita_Venda_Investimento_Financeiro;Custo_Investimento_Contabil;Custo_Investimento_Financeiro;Ajuste_Justo_Investimento_Contabil;Ajuste_Justo_Investimento_Financeiro;Outras_Receitas_Despesas_Investimento_Contabil;Outras_Receitas_Despesas_Investimento_Financeiro;Resultado_Liquido_Renda_Contabil;Resultado_Liquido_Renda_Investimento_Financeiro;Receita_Juros_TVM_Contabil;Receita_Juros_TVM_Financeiro;Ajuste_Justo_TVM_Contabil;Ajuste_Justo_TVM_Financeiro;Resultado_Venda_TVM_Contabil;Resultado_Venda_TVM_Financeiro;Outras_Receitas_Despesas_TVM_Contabil;Outras_Receitas_Despesas_TVM_Financeiro;Resultado_Liquido_TVM_Contabil;Resultado_Liquido_TVM_Financeiro;Resultado_Liquido_Total_Contabil;Resultado_Liquido_Total_Financeiro;Receita_Juros_Aplicacao_Contabil;Receita_Juros_Aplicacao_Financeiro;Ajuste_Justo_Aplicacao_Contabil;Ajuste_Justo_Aplicacao_Financeiro;Resultado_Venda_Aplicacao_Contabil;Resultado_Venda_Aplicacao_Financeiro;Outras_Receitas_Despesas_Aplicacao_Contabil;Outras_Receitas_Despesas_Aplicacao_Financeiro;Resultado_Liquido_Recurso_Liquidez_Contabil;Resultado_Liquido_Recurso_Liquidez_Financeiro;Resultado_Liquido_Derivativos_Contabil;Resultado_Liquido_Derivativos_Financeiro;Taxa_Administracao_Contabil;Taxa_Administracao_Financeiro;Taxa_Desempenho_Contabil;Taxa_Desempenho_Financeiro;Despesa_Consultoria_Especializada_Contabil;Despesa_Consultoria_Especializada_Financeiro;Despesa_Empresa_Especializada_Contabil;Despesa_Empresa_Especializada_Financeiro;Despesa_Formador_Mercado_Contabil;Despesa_Formador_Mercado_Financeiro;Despesa_Custodia_Contabil;Despesa_Custodia_Financeiro;Despesa_Auditoria_Independente_Contabil;Despesa_Auditoria_Independente_Financeiro;Despesa_Representantes_Cotistas_Contabil;Despesa_Representantes_Cotistas_Financeiro;Taxa_Imposto_Contribuicao_Contabil;Taxa_Imposto_Contribuicao_Financeiro;Despesa_Comissoes_Emolumentos_Contabil;Despesa_Comissoes_Emolumentos_Financeiro;Despesa_Honorarios_Defesas_Contabil;Despesa_Honorarios_Defesas_Financeiro;Despesa_Contratos_Seguros_Contabil;Despesa_Contratos_Seguros_Financeiro;Despesa_Avaliacoes_Contabil;Despesa_Avaliacoes_Financeiro;Taxa_Ingresso_Saida_Cotista_Contabil;Taxa_Ingresso_Saida_Cotista_Financeiro;Despesa_Registro_Cartorio_Contabil;Despesa_Registro_Cartorio_Financeiro;Outras_Receitas_Depesas_Contabil;Outras_Receitas_Depesas_Financeiro;Total_Receitas_Despesas_Contabil;Total_Receitas_Despesas_Financeiro;Resultado_Trimestral_Liquido_Contabil;Resultado_Trimestral_Liquido_Financeiro;Resultado_Financeiro_Liquido_Acumulado;Resultado_Financeiro_Liquido_Acumulado_95;Parcela_Rendimento_Retido;Lucro_Contabil;Rendimentos_Declarados;Rendimentos_Pagos_Antecipadamente;Rendimento_Liquido_Pagar;Percentual_Resultado_Financeiro_Liquido_Declarado
00.868.235/0001-08;2026-03-31;1;;;;;;;;;0;0;2847865.76;2858471.91;0;0;0;0;0;0;0;0;-210123.6;-302736.35;2637742.16;2555735.56;;;;;;;;;0;0;2637742.16;2555735.56;42426;42426;;;;;;;42426;42426;;;-189776.28;-189776.28;;;;;;;;;0;0;0.02;-14465.71;;;0;0;;;-4320;-4320;;;0;-8750;;;-537.22;-537.22;-35310.92;-35310.92;-229944.4;-253160.13;2450223.76;2345001.43;2345001.43;2227751.3585;;13942.45;2358943.8785;-1693572.88;665370.9985;1.005946
01.201.140/0001-90;2026-03-31;1;;;;;;;;;0;0;9657573.08;12615727.23;-538985.71;-538985.71;0;0;0;0;0;0;-455997.89;-455997.89;8662589.48;11620743.63;;;;;;;;;0;0;8662589.48;11620743.63;257153.2;257153.2;;;;;;;257153.2;257153.2;;;-309706.77;-309706.77;;;;;;;;;0;0;0;-18963;;;-39654.15;-39654.15;;;-9510.73;-9510.73;;;-5000;-5000;;;-66.39;-66.39;-23475.65;-23475.65;-387413.69;-406376.69;8532328.99;11471520.14;11471520.14;10897944.133;;0;9182709.903;-6116516.9;3066193.003;0.800479
01.356.517/0001-80;2026-03-31;1;0;0;0;0;0;0;0;0;0;0;20477677.46;20875048.38;-284588.75;-284588.75;0;0;0;0;0;0;76026.69;76026.69;20269115.4;20666486.32;0;0;0;0;0;0;0;0;0;0;20269115.4;20666486.32;7450028.05;7450028.05;0;0;0;0;0;0;7450028.05;7450028.05;;;-205575.02;-205575.02;0;0;0;0;-871883.87;-871883.87;0;0;0;0;-7223.85;-7223.85;0;0;-2967940.2;-2967940.2;0;0;0;0;0;0;0;0;0;0;0;0;-1470244.36;-1892374.47;-5522867.3;-5944997.41;22196276.15;22171516.96;22171516.96;21062941.112;;;21062941.112;0;21062941.112;0.95
01.964.775/0001-40;2026-03-31;1;;;;;;;;;0;0;;;;;;;;;;;;;0;0;48396.19;;;;;;;;48396.19;0;48396.19;0;;;;;;;;;0;0;;;-2870.13;-2870.13;;;;;;;;;;;;;;;-15526.5;-15526.5;;;;;;;;;;;;;;;-18396.63;-18396.63;29999.56;-18396.63;0;0;;;0;0;0;0
03.855.441/0001-63;2026-03-31;1;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;-241791.17;-241791.17;-241791.17;-241791.17;;;;;;;;;0;0;-241791.17;-241791.17;4678465.55;4678465.55;;;;;12714919.94;0;17393385.49;4678465.55;;;-532033.24;-511145.51;;;;;;;;;-3503.53;-3503.53;-16072.5;-21379.98;;;0;0;;;-23228.25;-23228.25;;;0;0;;;0;0;-10573508.78;-97803.96;-11148346.3;-657061.23;6003248.02;3779613.15;3779613.15;3590632.4925;;0;3590632.4925;0;3590632.4925;0.95
04.644.612/0001-78;2026-03-31;1;;;;;;;;;0;0;;;;;;;;;;;;;0;0;;;;;;;;;0;0;0;0;8899.76;8899.76;;;;;;;8899.76;8899.76;;;-53323.86;-53323.86;;;;;;;;;-30216.87;-30216.87;-4024.02;-4024.02;;;;;;;;;;;;;;;;;-8305.86;-8272.48;-95870.61;-95837.23;-86970.85;-86937.47;-86937.47;0;;;0;0;0;0
05.562.312/0001-02;2026-03-31;1;;;;;;;;;0;0;370479.61;1382627.56;-451573.91;-451573.91;;;;;;;-513989.78;-515389.46;-595084.08;415664.19;;;;;;;;;0;0;-595084.08;415664.19;188440.41;188440.41;;;;;;;188440.41;188440.41;;;-126000;-126000;;;-120000;-36000;;;;;-13982.95;-17761.16;;-35000;-18000;-18000;;;;;-11906.42;-11906.42;;;-12000;-12000;;;-3619.29;-3619.29;-25194.39;-18688.21;-330703.05;-278975.08;-737346.72;325129.52;325129.52;308873.044;;;308873.044;0;308873.044;0.95
08.417.532/0001-30;2026-03-31;1;;;;;;;;;0;0;3391272.48;4569026.28;0;0;0;0;0;0;0;0;-212739.63;-212739.63;3178532.85;4356286.65;;;;;;;;;0;0;3178532.85;4356286.65;871468.29;871468.29;11332956.46;;;;-7899304.71;;4305120.04;871468.29;;;-378523.47;-378523.47;;;;;;;;;-3503.53;-3503.53;-24035.77;-32047.7;;;0;0;;;-37841.94;-37841.94;;;-42500;-42500;;;-690.39;-690.39;-130186.37;-130186.37;-617281.47;-625293.4;6866371.42;4602461.54;4602461.54;4372338.463;;0;4372338.463;0;4372338.463;0.95
10.456.799/0001-89;2026-03-31;1;0;0;0;0;0;0;19135.71;19135.71;19135.71;19135.71;12274941.76;12464780.96;-170440;-170440;0;0;0;0;16926600;0;-1630176.02;-1621042.4;27400925.74;10673298.56;;;;;;;;;0;0;27420061.45;10692434.27;2407511.54;2336433.3;;;;;;;2407511.54;2336433.3;;;-171228.66;-171228.66;;;;;0;0;;;0;0;-12865.05;-12865.05;;;-1673588.78;-1673588.78;;;-83506.83;-83506.83;;;-20000;-20000;;;-10656.41;-10656.41;-1730761.39;-1553430.61;-3702607.12;-3525276.34;26124965.87;9503591.23;9503591.23;9028411.67;;;9028411.67;0;9028411.67;0.95
10.991.914/0001-15;2026-03-31;1;;;;;;;;;0;0;2580042.96;2580042.96;;;;;;;;;;;2580042.96;2580042.96;;;;;;;;;0;0;2580042.96;2580042.96;259086.08;204891.55;;;;;;;259086.08;204891.55;;;-167132.61;-167132.61;;;;;;;;;-35540.15;-35540.15;-3957.29;;;;-62575.43;-628;;;;;;;;;;;-181.14;-181.14;-4727.57;-4098.25;-274114.19;-207580.15;2565014.85;2577354.36;2577354.36;2448486.642;;;2448486.642;-2449791.5;-1304.858;0.95
11.827.568/0001-05;2026-03-31;1;;;;;;;-76079.01;-121804.63;-76079.01;-121804.63;;;;;;;;;;;194562.04;20572.18;194562.04;20572.18;;;;;;;;;0;0;118483.03;-101232.45;850737.39;;;;;;;;850737.39;0;;;-184544.85;-183441.62;;;;;;;;;-5462.33;-5462.33;-4200;-4200;;;;;;;;;;;;;;;;;-14958.83;-14922.32;-209166.01;-208026.27;760054.41;-309258.72;-309258.72;0;;0;0;0;0;0
13.125.823/0001-95;2026-03-31;1;;;;;;;;;0;0;2768229.15;2768229.15;;;;;;;;;;;2768229.15;2768229.15;;;;;;;;;0;0;2768229.15;2768229.15;1370.05;1370.05;;;;;;;1370.05;1370.05;;;-38719.8;-38719.8;;;;;;;;;;;-3935.11;-8000;;;-1465.37;-308.2;;;;;;;;;;;;;-395712.62;-1372901.76;-439832.9;-1419929.76;2329766.3;1349669.44;1349669.44;1282185.968;;0;-0.002;0;-0.002;0
13.555.918/0001-49;2026-03-31;1;;;;;;;;;0;0;30000;30000;;;;;;;;;;;30000;30000;-24674.82;;;;;;;;-24674.82;0;5325.18;30000;;0;;;;;;;0;0;;;-375000;;;;;;;;;;;;;;;;-9248.88;-9248.88;;;-10717.92;-10717.92;;;;;;;;;-107041.56;-21774.78;-502008.36;-41741.58;-496683.18;-11741.58;-11741.58;0;;0;0;0;0;0
14.631.148/0001-39;2026-03-31;1;;;;;;;;;0;0;628147.4;628147.4;-74840.57;-76509.73;;;;;;;;;553306.83;551637.67;;;;;;;;;0;0;553306.83;551637.67;110038.2;0;;;;;;;110038.2;0;;;-156910;-168827.53;;;-6890;-6890;;;;;-16200;-14900;-4442.73;-4442.73;;;-26663.47;-80910.05;;;-15451.25;-15451.25;;;;;;;;;-24765.17;-24837.12;-251322.62;-316258.68;412022.41;235378.99;235378.99;223610.0405;;0;249004.9405;-249004.94;0.0005;1.057889
14.721.889/0001-00;2026-03-31;1;;;;;;;;;0;0;6573080.76;6573080.76;;;;;;;;;;;6573080.76;6573080.76;;;;;;;;;0;0;6573080.76;6573080.76;62761.26;62761.26;;;;;;;62761.26;62761.26;;;-98244.65;-96783.82;;;-4157.58;-4157.58;;;;;-9305.73;-9305.73;-5558.32;;;;-21528.35;-14121.12;;;;;;;;;;;;;-3560.38;-3560.38;-142355.01;-127928.63;6493487.01;6507913.39;6507913.39;6182517.7205;;;6500054.3305;-4839518.1;1660536.2305;0.998792
15.461.076/0001-91;2026-03-31;1;;;;;;;;;0;0;;;;;;336565.65;;;2021.65;;-50196.25;-45472.93;-48174.6;291092.72;;;19197.83;19197.83;;;;;19197.83;19197.83;-28976.77;310290.55;178238.38;178238.38;;;;;;;178238.38;178238.38;;;-260985.45;-283249.25;;;;;;;;;-15000;-15000;-5113.92;-5120.92;;;;;;;-10161.19;-10161.19;;;;;;;;;-23770.2;-23648.95;-315030.76;-337180.31;-165769.15;151348.62;151348.62;143781.189;;;143781.189;0;143781.189;0.95
16.543.270/0001-89;2026-03-31;1;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;0;0;-399.98;0;;;;;;;-399.98;0;-399.98;0;60556.48;60556.48;;;;;;;60556.48;60556.48;;;-375957.39;-374250;;;-1071.42;-1071.42;;;;;-25071.99;-25071.99;-4320.97;-4320.97;;;-273.55;-273.55;;;-4069;-4069;;;;;;;-21807.19;-21830.17;;;-432571.51;-430887.1;-372415.01;-370330.62;-370330.62;0;;0;0;0;0;0
19.267.845/0001-76;2026-03-31;1;;;;;;;;;0;0;1463756.22;1463756.22;-233569.63;-233569.63;;;;;;;;;1230186.59;1230186.59;;;;;;;;;0;0;1230186.59;1230186.59;54312.57;54312.57;;;;;;;54312.57;54312.57;;;-51968.11;-51968.11;;;-18000;-18000;;;;;0;0;-12298.21;-50000;0;0;-17162.71;-12224.76;0;0;0;0;0;0;0;0;0;0;0;0;-25865.63;-25865.63;-125294.66;-158058.5;1159204.5;1126440.66;1126440.66;1070118.627;;78629.16;1205069.817;-709319.97;495749.847;1.069803
20.118.470/0001-61;2026-03-31;1;;;;;;;;;0;0;22199734.06;22199734.06;-15234;-15234;;;;;;;-1436446.2;0;20748053.86;22184500.06;;;;;;;;;0;0;20748053.86;22184500.06;13769.24;;;;;;;;13769.24;0;;;-113659.1;-106204.55;;;;;;;;;-3000;-2000;;;;;-51656.49;-48644.79;;;-39639.22;-39639.22;;;-13000;-13000;;;-33576.18;-33576.18;-825;-825;-255355.99;-243889.74;20506467.11;21940610.32;21940610.34;20843579.823;;;20843579.823;0;20843579.823;0.95
22.169.716/0001-50;2026-03-31;1;;;;;;;;;0;0;;;;;;;;;;;;;0;0;;;;;;;;;0;0;0;0;17994.45;17994.45;;;;;;;17994.45;17994.45;;;-77790.12;-77790.12;;;;;;;;;;;-3885.7;;;;-4823.33;-4052.29;;;;;;;;;;;;;-224.79;-224.79;-86723.94;-82067.2;-68729.49;-64072.75;-64072.75;0;;0;0;0;0;0
27.773.327/0001-52;2026-03-31;1;;;;;;;;;0;0;;;;;;;;;;;;0;0;0;;;;;;;;;0;0;0;0;;;;;;;;;0;0;;;-36857.14;;;;;;;;;;-44581.18;;;;;;;;;;;;;;;;;;;;2;;-81436.32;0;-81436.32;0;0;0;;;0;0;0;0
36.312.025/0001-78;2026-03-31;1;;;;;;;;;0;0;3157171.59;2879795.94;-55194.47;-55194.47;;;;;;;-47891.9;-47891.9;3054085.22;2776709.57;;;;;;;;;0;0;3054085.22;2776709.57;10705.76;10705.76;;;;;;;10705.76;10705.76;;;-83386.53;-84516.96;;;-128750.31;-8750.31;;;;;;;;;;;-153128.85;-155381.61;;;;;;;;;;;;;-78974.15;-79017.63;-444239.84;-327666.51;2620551.14;2459748.82;2459748.22;2336760.809;;;2336760.809;0;2336760.809;0.95
36.501.210/0001-00;2026-03-31;1;0;0;0;0;0;0;0;0;0;0;3156540.24;3156540.24;;;;;;;;;-267696.28;-123386.88;2888843.96;3033153.36;;;;;;;;;0;0;2888843.96;3033153.36;167525.21;167525.21;;;;;;;167525.21;167525.21;;;-33738.35;-33837.77;;;;;;;0;0;-7028.82;-7049.53;;;;;0;;;;;;;;-21500;0;;;;;141962.95;-23846.45;79695.78;-64733.75;3136064.95;3135944.82;3135944.82;2979147.579;;0;2202210.409;-2202210.41;-0.001;0.702248
36.669.660/0001-07;2026-03-31;1;;;;;;;;;0;0;;;;;;;;;;;;;0;0;;;-15401940.97;;;;9668679.93;9668679.93;-5733261.04;9668679.93;-5733261.04;9668679.93;374759.37;374759.37;;;;;;;374759.37;374759.37;;;-416367.92;-408805.52;;;;;;;;;-16761.54;-16753.32;-10330.35;-42000;;;-94248.69;-84372.79;;;;;;;;;;;;;-41681.12;-40993.64;-579389.62;-592925.27;-5937891.29;9450514.03;9450514.03;8977988.3285;;;9281170.3585;-6187446.86;3093723.4985;0.982081
36.885.948/0001-19;2026-03-31;1;;;;;;;;;0;0;135720.29;135720.29;-205954.44;-205954.44;;;;;;;;;-70234.15;-70234.15;;;;;;;;;0;0;-70234.15;-70234.15;3133.54;3133.54;;;;;;;3133.54;3133.54;;;-75000;-99465.62;;;-3687987.98;-3687987.98;;;;;-45000;;;;;;;;;;;;;;;;;;;;20871.21;-385;-3787116.77;-3787838.6;-3854217.38;-3854939.21;-3854939.21;0;;;0;0;0;0
36.885.989/0001-05;2026-03-31;1;;;;;;;;;0;0;193956.59;193956.59;-339410.82;-368264;;;;;;;-1887549.26;;-2033003.49;-174307.41;;;;;;;;;0;0;-2033003.49;-174307.41;10195.87;10195.87;;;;;;;10195.87;10195.87;;;-75000;-87139;;;-74555.43;-88465;;;;;;;;;;;-53439.04;-53439.04;;;-9927.5;-9927.5;;;;;;;;;-30816.72;-4863.54;-243738.69;-243834.08;-2266546.31;-407945.62;-407945.62;0;;;0;0;0;0
40.346.049/0001-15;2026-03-31;1;;;;;;;;;0;0;5745390.15;5531344.67;-1260252.26;-1260252.26;;;;;;;;;4485137.89;4271092.41;;;;;;;;;0;0;4485137.89;4271092.41;94146.63;94146.63;;;;;;;94146.63;94146.63;;;-1035193.5;-1035193.5;;;-72600;-72600;;;;;-97969.69;-97969.69;-7349.28;-14676;;;-28176.28;-20655.59;;;;;;;-3542.56;-4440;;;;;-2996507.99;-2789677.91;-4241339.3;-4035212.69;337945.22;330026.35;330026.35;313525.0325;;;313525.0325;0;313525.0325;0.95
40.886.521/0001-02;2026-03-31;1;;;;;;;;;0;0;1586895.97;1586895.97;-1790.6;-10832.64;;;;;;;;;1585105.37;1576063.33;;;;;;;;;0;0;1585105.37;1576063.33;51456.85;51456.85;;;;;;;51456.85;51456.85;;;-381291.6;-374664.9;;;-18750;-18750;;;;;-16205.89;-16205.89;-8608.32;;;;-16545.66;-11607.71;;;;;;;;;;;;;-1104064.09;-993722.62;-1545465.56;-1414951.12;91096.66;212569.06;212569.06;201940.607;;;-0.003;0;-0.003;0
40.887.170/0001-54;2026-03-31;1;;;;;;;;;0;0;;;;;;;;;;;;;0;0;;;;;;;;;0;0;0;0;17244.94;17244.94;;;;;;;17244.94;17244.94;;;-116592.15;-114932.19;0;0;0;0;0;0;0;0;0;0;-4427.38;0;0;0;-6194.44;-3880.1;0;0;0;0;0;0;0;0;0;0;0;0;-1349.82;-1349.82;-128563.79;-120162.11;-111318.85;-102917.17;-102917.17;0;;0;0;0;0;0
41.219.454/0001-35;2026-03-31;1;;;;;;;;;0;0;2953907.83;2953907.83;;;;936469.07;;;;;-65001.13;-1480.3;2888906.7;3888896.6;;;;;;;;;0;0;2888906.7;3888896.6;4245.1;;;;;;;;4245.1;0;;;-93957.41;-93956.98;;;;;;;;;;;;;;;;;;;;;;;-60000;-60000;;;;;-150.45;-150.45;-154107.86;-154107.43;2739043.94;3734789.17;3734789.17;3548049.7115;;;3548049.7115;0;3548049.7115;0.95
41.650.310/0001-39;2026-03-31;1;;;;;;;;;0;0;4137019.18;4137019.18;;;;;;;;;;0;4137019.18;4137019.18;;;;;;;;;0;0;4137019.18;4137019.18;7851.85;;;;;;;;7851.85;0;;;-99165.3;-98292.42;;;-24000;-24000;;;;;;;-28000;-28000;;;-1774.42;;;;-7650;-7650;;;-24000;-24000;;;;;-2555.37;-2555.37;-187145.09;-184497.79;3957725.94;3952521.39;3952521.39;3754895.3205;;;3754895.3205;0;3754895.3205;0.95
41.969.521/0001-39;2026-03-31;1;;;;;;;;;0;0;1292821.26;1275322.53;;;;;;;;;;;1292821.26;1275322.53;212126.05;212126.05;;;;;;;212126.05;212126.05;1504947.31;1487448.58;18626.75;0;;;;;;;18626.75;0;;;-104004.78;-104079.64;;;-15000;-15000;;;;;-3586.38;-3586.38;-7200;-7200;;;-1480.47;0;;;-477.3;-477.3;;;-33460;-33460;;;;;-1028.13;-678.93;-166237.06;-164482.25;1357337;1322966.33;1322966.33;1256818.0135;;;1256818.0135;-1165607.52;91210.4935;0.95
