CNPJ_Fundo_Classe;Data_Referencia;Versao;Endereco;Outras_Caracteristicas_Relevantes;Area;Percentual_Terreno_Total_Investido;Percentual_Terreno_PL
00.868.235/0001-08;2026-03-31;1;Rua Primeiro de Janeiro, 100;Terreno;3950;1;0
10.456.799/0001-89;2026-03-31;1;Av. Das Indústrias, 1587, Bairro São João, Porto Alegre-RS. Quadra A, lote 1 ao 5 e Quadras B ao G, lotes 1.;Nenhuma;272389.28;0;0
10.456.799/0001-89;2026-03-31;1;Av. Veríssimo de Amaral, 320, Bairro Passo d'Areia, Porto Alegre-RS. Quadra G.;Nenhuma;22269.82;0;0
10.456.799/0001-89;2026-03-31;1;Rua Antônio Carlos Berta, 345, Bairro Boa Vista, Porto Alegre-RS. Quadra G.;Nenhuma;16837.79;0;0
10.456.799/0001-89;2026-03-31;1;Av. Veríssimo de Amaral, 50, Bairro Passo d'Areia, Porto Alegre-RS. Quadra I.;Nenhuma;9068.73;0;0
10.456.799/0001-89;2026-03-31;1;Av. Senador Tarso Dutra, 735, Bairro Petropolis, Porto Alegre-RS. Quadra C, lote 1.;Nenhuma;16618.56;0;0
10.456.799/0001-89;2026-03-31;1;Av. Senador Tarso Dutra, 495, Bairro Petropolis, Porto Alegre-RS. Quadra H, lote 1A.;Nenhuma;2216.43;0;0
10.456.799/0001-89;2026-03-31;1;Mário Leitão, 150, Bairro Petropolis, Porto Alegre-RS. Quadra H, lote 3A.;Nenhuma;6034.29;0;0
10.456.799/0001-89;2026-03-31;1;Av. Veríssimo do Amaral, 37 , Bairro Passo d'Areia, Porto Alegre-RS. Quadra 154, lote 1 ao 3.;Nenhuma;1153.19;0;0
10.456.799/0001-89;2026-03-31;1;Av. Dr. Nilo Peçanha, Bairro Chácara das Pedras, Porto Alegre-RS. Quadra 154 , lotes do 14 ao 22.;Nenhuma;4513.65;0;0
10.456.799/0001-89;2026-03-31;1;Rua Cel Genes Bento, Vila Ipiranga, Porto Alegre-RS. Quadra 154, lotes do 23 ao 27.;Nenhuma;2783.22;0;0
10.456.799/0001-89;2026-03-31;1;Rua Juncal, 40, 50 e 60, Vila Ipiranga, Porto Alegre-RS. Quadra 154, lotes do 28 ao 30.;Nenhuma;1578.24;0;0
10.456.799/0001-89;2026-03-31;1;Av. Nilo Peçanha, 3410, 3420 e 3430, Bairro Chácara das Pedras, Porto Alegre-RS. Quadra 153, lotes 1 ao 12.;Nenhuma;5445.18;0;0
10.456.799/0001-89;2026-03-31;1;Av. Nilo Peçanha, 3530, Bairro Chácara das Pedras, Porto Alegre-RS. Quadra 14, lote 631.;Nenhuma;554.23;0;0
10.456.799/0001-89;2026-03-31;1;Rua Vinte e Quatro de Maio 368, Vila Rosa, Novo Hamburgo-RS. Lotes A e B.;Nenhuma;13345.19;0;0
10.456.799/0001-89;2026-03-31;1;Av. Nações Unidas s/n, Vila Rosa, Novo Hamburgo-RS. Lote C.;Nenhuma;31744.81;0;0
10.456.799/0001-89;2026-03-31;1;Av. Severo Dullius, 895, Bairro São João, Porto Alegre-RS;Nenhuma;3000.1;0;0
10.456.799/0001-89;2026-03-31;1;Av. Severo Dullius, 1025, Bairro São João, Porto Alegre-RS;Nenhuma;4400;0;0
10.456.799/0001-89;2026-03-31;1;Av. Dos Estados, 1713, Bairro São João, Porto Alegre-RS;Nenhuma;14154.41;0;0
10.456.799/0001-89;2026-03-31;1;Rua Mirim, 146, Vila Ipiranga, Porto Alegre-RS;Nenhuma;217;0;0
10.456.799/0001-89;2026-03-31;1;Av. Manoel Elias, 891 e 901, Passo das Pedras, Porto Alegre-RS;Nenhuma;23157.42;0;0
10.456.799/0001-89;2026-03-31;1;Rua Dietrich Hilbk, Bairro Morro do Espelho, São Leopoldo-RS;Nenhuma;1302.12;0;0
10.456.799/0001-89;2026-03-31;1;Av. Maua, 3164, São Leopoldo-RS (8 lotes lindeiros);Nenhuma;19210.31;0;0
13.125.823/0001-95;2026-03-31;1;Endereço: Rua Tuffi Rassi n° 50, Vila Abranches, Ribeirão Preto-SP;Imóvel matricula n° 37.850.;36773;0;0
13.555.918/0001-49;2026-03-31;1;Rodovia Presidente Dutra, Km 192 - Queimados - RJ.;Possui acesso pela estrada Olegório maciel conectando-se a área urbana da cidade a 3 km do centro da cidade, assim como estação de trem da Supervia e toda a rede de comércio (bancos, supermercados e shoppings).;109619.53;0.76;0
13.555.918/0001-49;2026-03-31;1;Rodovia Presidente Dutra, Km 189 e 190 - Queimados - RJ.;Queimados - RJ.Situado entre os municípios de nova iguaçu - RJ e Queimados próximo a entrada da cidade de Queimados;116446.84;0.24;1
14.217.108/0001-45;2026-03-31;1;R. D. Francisca, 8300 - Dist. Indl - Joinville -SC;Matricula;277714.5;0.194537;0
14.217.108/0001-45;2026-03-31;1;R. Alemanha, nº 0 - Bairro Gloria Joinville - SC;Matricula;10635.13;0.058188;0
14.217.108/0001-45;2026-03-31;1;R. Silva Jardim, nº 0 - Bairro Gloria-Joinville-SC;Matricula;33650;0.18411;0
14.217.108/0001-45;2026-03-31;1;R. Otto Berner, nº 0 - Baiiro Gloria-Joinville-SC.;Matricula;36575;0.200114;0
14.217.108/0001-45;2026-03-31;1;R. Silva Jardim, nº 0 - Bairro Atiradores-Joinville-SC;Matricula;2100;0.01149;0
14.217.108/0001-45;2026-03-31;1;R. Sd 40187, nº 0 - Bairro Gloria - Joinville - SC;Matricula;2516.3;0.013768;0
14.217.108/0001-45;2026-03-31;1;R. Sd 40187, nº 0 - Bairro Gloria - Joinville - SC;Matricula;30367.1;0.166148;0
14.217.108/0001-45;2026-03-31;1;R. D. Nelson N. Guimareaes, nº - Bairro Gloria - Joinville - SC;Matricula;14587.09;0.079811;0
14.217.108/0001-45;2026-03-31;1;R. D. Nelson N. Guimareaes, nº - Bairro Gloria - Joinville - SC;Matricula;16784.49;0.091834;0
31.547.782/0001-07;2026-03-31;1;FAZENDA CACHOEIRA;Parceria agrícola, fazendo parte desta, os equipamentos e benfeitorias fixas existentes nos imóveis. Matriculas: 13553 - 13772 - 17121 - 17315 - 18588 - 13553;17883600;0;0
31.547.782/0001-07;2026-03-31;1;AV ITAOCA 786;Parceria agrícola, fazendo parte desta, os equipamentos e benfeitorias fixas existentes nos imóveis. Matrícula: 94.317;0;0;0
32.274.197/0001-43;2026-03-31;1;Av. dos Imarés, 182 - Indianópolis, São Paulo - SP, 04085-000;Construção 255 (duzentas e cinquenta e cinco) unidades autônomas residenciais (R) da Torre 2 do Empreendimento, sendo neste caso 24 (vinte e quatro) unidades por andar, as quais corresponderão à totalidade das unidades autônomas residenciais da Torre 2. E área privativa não residencial integrantes da Torre 2.;13639;1;0
32.274.197/0001-43;2026-03-31;1;Rua Pássaros e Flores, 30, São Paulo - SP;469 unidades autônomas residenciais (R) da Torre 3 do Empreendimento ("Unidades Autônomas"), as quais corresponderão à totalidade das unidades autônomas residenciais da Torre 3;17541;1;0
36.258.924/0001-30;2026-03-31;1;IMOVEL -TERRENO BELEM;TERRENO BELEM;1000;0.0856;1
36.312.025/0001-78;2026-03-31;1;Rua Américo Lobo, Quadra E, Lote 28, município de Juiz de Fora, estado de Minas Gerais;Matrícula 4359;373.75;0;0
36.885.948/0001-19;2026-03-31;1;Avenida Marginal Leste, Goiânia Lote de terreno urbano de número 09, da Quadra 04 (ZM-BD);na;330;0;0
36.885.948/0001-19;2026-03-31;1;Avenida Marginal Leste, Goiânia Lote de terreno urbano de número 10, da Quadra 04 (ZM-BD);na;347.52;0;0
36.885.948/0001-19;2026-03-31;1;Avenida Marginal Leste, Goiânia Lote de terreno urbano de número 11, da Quadra 04 (ZM-BD);na;319.57;0;0
39.347.413/0001-82;2026-03-31;1;Rua Denise Alves de Medeiros Campina Grande - Paraíba;Terreno adquirido de acordo com a escritura pública de compra e venda cuja aquisição está averbado junto a matrícula do imóvel.;12000;1;0
40.346.049/0001-15;2026-03-31;1;Terreno em conjunto com o imóvel - Cabreuva - SP, localizado na Rodovia Don Gabriel Paulino Couto, Km 83 - Cidade de Cabreuva/SP;Terreno em conjunto com o imóvel - Cabreuva - SP, localizado na Rodovia Don Gabriel Paulino Couto, Km 83 - Cidade de Cabreuva/SP;64992.82;0.03;0
41.219.454/0001-35;2026-03-31;1;Lote de terreno, localizado na Rua Albino Torraca, 2290 - Lote 45-X2, no Município de Dourados/MS.;MAT 154.357;24509.334;0.7952;0
41.219.454/0001-35;2026-03-31;1;Lote 06 da quadra 50 do Jardim Inápolis - Rua da Sé, esquina com Rua Rosa Vermelha, município de Campo Grande, MS.;MAT 1.943;1000;0.0052;0
41.219.454/0001-35;2026-03-31;1;Lote de terreno, localizado na Rua Santa Teresa esquina com a Rua José Maria, no bairro Itanhangá Rua José Maria e Rua Santa Tereza, em Campo Grande/MS;resultante do remembramento dos lotes 25, 26, 27, 28, 29, 29A da quadra 1. Matrícula 288.961;1375.32;0.0636;0
41.219.454/0001-35;2026-03-31;1;Rua Antônio Ferreira Lima - Terreno Lote 14 da Quadra 04 do Jardim Autonomista III Campo Grande/MS;MAT 193.977;567.28;0.0266;0
41.219.454/0001-35;2026-03-31;1;Rua Manoel Santiago, 1160 Lote 45-Y Dourados/MS;MAT 147.089;3942.77;0.1093;0
41.650.310/0001-39;2026-03-31;1;Avenida Capitão Júlio Bezerra, Lotes 42, Bairro Nossa Senhora Aparecida, Manaus,Amazonas.;Matricula 1025;1160;1;0.00718946689730996
41.650.310/0001-39;2026-03-31;1;Avenida Nossa Senhora da Conceição, 938, Bairro Jorge Teixeira, Município de Manaus, Estado do Amazonas;Matrícula 12.360;3502.8;1;
41.650.310/0001-39;2026-03-31;1;Rua Amparo do Itororó, bairro Alvorada - Manaus/AM;Matrícula 12.657;16550.4;1;0.0698135075028257
41.650.310/0001-39;2026-03-31;1;Avenida Max Teixeira, Bairro Cidade Nova, Manaus, Amazonas;Matrícula 15240;3000;1;0.0212530731964338
41.650.310/0001-39;2026-03-31;1;Avenida Desembargador João Machado, Lote 4, Bairro Campos Elíseos,Manaus, Amazonas;Matrícula 3574;800;1;0.00394159369370064
41.650.310/0001-39;2026-03-31;1;Ruas Dona Clô e Alvaro Maia, Lote 490,Bairro Nossa Senhora Aparecida,Manaus, Amazonas,;Matrícula 2319;1078;1;
41.650.310/0001-39;2026-03-31;1;Avenida Capitão Júlio Bezerra, Lotes 83, Bairro Nossa Senhora Aparecida, Manaus,Amazonas.;Matrícula 16408;984;1;0.00623087131100197
41.650.310/0001-39;2026-03-31;1;Ruas Dona Clô e Alvaro Maia, Lote 370,Bairro Nossa Senhora Aparecida,Manaus, Amazonas,;Matrícula 6.232;947.75;1;0.00403934521730441
41.650.310/0001-39;2026-03-31;1;Rua Moacir Baima, nº 407, Parque 10 de novembro, Manaus, Amazonas.;Matrícula 64.777;1000;1;0.00785165463785167
41.650.310/0001-39;2026-03-31;1;Avenida Capitão Júlio Bezerra, Lotes 62, Bairro Nossa Senhora Aparecida, Manaus,Amazonas.;Matrícula 2.396;630;1;
41.650.310/0001-39;2026-03-31;1;Avenida Capitão Júlio Bezerra, Lotes 98, Bairro Nossa Senhora Aparecida, Manaus,Amazonas.;Matrícula 5.384;980;1;
41.650.310/0001-39;2026-03-31;1;Ruas Dona Clô e Alvaro Maia, Lote 428,Bairro Nossa Senhora Aparecida,Manaus, Amazonas,;Matrícula 52.653;969.3;1;
44.584.965/0001-44;2026-03-31;1;Cidade Aracília, do Distrito, Município, Comarca e 1ª Circunscrição Imobiliária de Guarulhos, Estado de São Paulo;Aracilia matricula 11.529;0;0.4984;0
44.584.965/0001-44;2026-03-31;1;Cidade Aracília, do Distrito, Município, Comarca e 1ª Circunscrição Imobiliária de Guarulhos, Estado de São Paulo;Aracília matricula 58.931;0;0.2508;0
44.584.965/0001-44;2026-03-31;1;Cidade Aracília, do Distrito, Município, Comarca e 1ª Circunscrição Imobiliária de Guarulhos, Estado de São Paulo;Aracília matricula 101.52;0;0.2508;0
44.585.121/0001-18;2026-03-31;1;RUA DOMINGOS ZANIN Nº 0 TAMOIO (JD) ARARAQUARA SP CEP 14800-250;FAMA;9259.26;1;0
47.669.336/0001-05;2026-03-31;1;FAZENDA BARRA DO RIBEIRO;MATRICULA 4837;2666.66;0.5;0
47.669.336/0001-05;2026-03-31;1;60.375 ALPHAVILE PR;MATRICULA 60.375;754.85;0.5;0
