codigo_fii;setor;preco_atual;liquidez_diaria;P/VP;dy_12m;DY (12M) Acumulado;Variação Preço;Patrimônio Líquido;Num. Cotistas;data_coleta;qtd_pagamentos_12m;primeira_data_pagamento_12m;primeiro_valor_pagamento_12m;ultima_data_pagamento_12m;ultimo_valor_pagamento_12m
HGPO11;Lajes Corporativas;15278,0;232520,53;099;48,22;0,00 %;5,05 %;270.338.702,25;8.451;2026-05-12;0;;;;
BBFI11B;Lajes Corporativas;1257,1;182918,19;041;47,51;69,77 %;4,22 %;111.645.834,19;6.989;2026-05-12;0;;;;
PFIN11;Indefinido;6265,0;2689846,47;;32,34;36,96 %;6,60 %;;0;2026-05-12;0;;;;
PNPR11;Fundo de Desenvolvimento;4800,0;5000064,0;117;25,23;0,00 %;0,00 %;36.702.298,61;15;2026-05-12;0;;;;
KOPA11;Indefinido;50998,0;227440,21;090;8,8;69,29 %;-5,25 %;202.686.477,19;3.462;2026-05-12;0;;;;
RBIR11;Fundo de Desenvolvimento;8004,0;111028,47;100;7,74;26,74 %;-0,92 %;121.964.032,21;1.484;2026-05-12;0;;;;
ENDD11;Indefinido;11457,0;556053,47;;4,99;10,14 %;9,27 %;;0;2026-05-12;0;;;;
VIUR11;Misto;267,0;466390,32;035;4,48;20,00 %;-0,68 %;206.251.746,87;38.079;2026-05-12;0;;;;
BDIV11;Indefinido;3700,0;457839,95;;4,01;21,52 %;-0,05 %;;0;2026-05-12;0;;;;
KNOX11;FIP-IE;10300,0;368986,89;;2,77;8,53 %;3,59 %;;0;2026-05-12;0;;;;
